OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
64,8,224,224,7,7,2,2,3,3,3,3,sta,54500
64,8,224,224,7,7,2,2,3,3,3,3,dyn,54560
256,64,56,56,1,1,1,1,0,0,0,0,sta,9120
256,64,56,56,1,1,1,1,0,0,0,0,dyn,9142
64,64,56,56,1,1,1,1,0,0,0,0,sta,2480
64,64,56,56,1,1,1,1,0,0,0,0,dyn,2479
64,64,56,56,3,3,1,1,1,1,1,1,sta,20189
64,64,56,56,3,3,1,1,1,1,1,1,dyn,20305
256,64,56,56,1,1,1,1,0,0,0,0,sta,9120
256,64,56,56,1,1,1,1,0,0,0,0,dyn,9202
64,256,56,56,1,1,1,1,0,0,0,0,sta,9120
64,256,56,56,1,1,1,1,0,0,0,0,dyn,9143
64,64,56,56,3,3,1,1,1,1,1,1,sta,20188
64,64,56,56,3,3,1,1,1,1,1,1,dyn,20305
256,64,56,56,1,1,1,1,0,0,0,0,sta,9120
256,64,56,56,1,1,1,1,0,0,0,0,dyn,9141
64,256,56,56,1,1,1,1,0,0,0,0,sta,9120
64,256,56,56,1,1,1,1,0,0,0,0,dyn,9142
64,64,56,56,3,3,1,1,1,1,1,1,sta,20188
64,64,56,56,3,3,1,1,1,1,1,1,dyn,20305
256,64,56,56,1,1,1,1,0,0,0,0,sta,9120
256,64,56,56,1,1,1,1,0,0,0,0,dyn,9143
512,256,56,56,1,1,2,2,0,0,0,0,sta,19351
512,256,56,56,1,1,2,2,0,0,0,0,dyn,19724
128,256,56,56,1,1,2,2,0,0,0,0,sta,6955
128,256,56,56,1,1,2,2,0,0,0,0,dyn,6955
128,128,28,28,3,3,1,1,1,1,1,1,sta,21408
128,128,28,28,3,3,1,1,1,1,1,1,dyn,22068
512,128,28,28,1,1,1,1,0,0,0,0,sta,9662
512,128,28,28,1,1,1,1,0,0,0,0,dyn,9940
128,512,28,28,1,1,1,1,0,0,0,0,sta,9662
128,512,28,28,1,1,1,1,0,0,0,0,dyn,9910
128,128,28,28,3,3,1,1,1,1,1,1,sta,21408
128,128,28,28,3,3,1,1,1,1,1,1,dyn,22065
512,128,28,28,1,1,1,1,0,0,0,0,sta,9663
512,128,28,28,1,1,1,1,0,0,0,0,dyn,9942
128,512,28,28,1,1,1,1,0,0,0,0,sta,9662
128,512,28,28,1,1,1,1,0,0,0,0,dyn,9944
128,128,28,28,3,3,1,1,1,1,1,1,sta,21408
128,128,28,28,3,3,1,1,1,1,1,1,dyn,22072
512,128,28,28,1,1,1,1,0,0,0,0,sta,9662
512,128,28,28,1,1,1,1,0,0,0,0,dyn,9910
128,512,28,28,1,1,1,1,0,0,0,0,sta,9663
128,512,28,28,1,1,1,1,0,0,0,0,dyn,9944
128,128,28,28,3,3,1,1,1,1,1,1,sta,21408
128,128,28,28,3,3,1,1,1,1,1,1,dyn,22065
512,128,28,28,1,1,1,1,0,0,0,0,sta,9662
512,128,28,28,1,1,1,1,0,0,0,0,dyn,9943
1024,512,28,28,1,1,2,2,0,0,0,0,sta,23987
1024,512,28,28,1,1,2,2,0,0,0,0,dyn,25888
256,512,28,28,1,1,2,2,0,0,0,0,sta,6639
256,512,28,28,1,1,2,2,0,0,0,0,dyn,6640
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29117
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13057
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13109
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29127
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13053
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13110
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29162
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13047
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13123
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29113
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13050
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13124
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29135
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13046
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13056
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29123
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13051
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13048
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29126
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13122
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13061
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29112
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13050
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13126
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29115
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13048
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13054
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29114
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13050
256,1024,14,14,1,1,1,1,0,0,0,0,sta,11831
256,1024,14,14,1,1,1,1,0,0,0,0,dyn,13051
256,256,14,14,3,3,1,1,1,1,1,1,sta,26287
256,256,14,14,3,3,1,1,1,1,1,1,dyn,29153
1024,256,14,14,1,1,1,1,0,0,0,0,sta,11831
1024,256,14,14,1,1,1,1,0,0,0,0,dyn,13130
