ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,36573,146292,0.15,10.29,236027904,236.03,1613.40,37.07
2,MaxPool,10159,40636,0.04,2.86,0,0,0,0
3,Conv,13742,54968,0.05,3.87,231211008,231.21,4206.28,96.65
4,Conv,13742,54968,0.05,3.87,231211008,231.21,4206.28,96.65
5,Add,3168,12672,0.01,0.89,0,0,0,0
6,Conv,13742,54968,0.05,3.87,231211008,231.21,4206.28,96.65
7,Conv,13742,54968,0.05,3.87,231211008,231.21,4206.28,96.65
8,Add,3168,12672,0.01,0.89,0,0,0,0
9,Conv,1997,7988,0.01,0.56,12845056,12.85,1608.04,36.95
10,Conv,7649,30596,0.03,2.15,115605504,115.61,3778.45,86.82
11,Conv,14962,59848,0.06,4.21,231211008,231.21,3863.30,88.77
12,Add,1600,6400,0.01,0.45,0,0,0,0
13,Conv,14962,59848,0.06,4.21,231211008,231.21,3863.30,88.77
14,Conv,14962,59848,0.06,4.21,231211008,231.21,3863.30,88.77
15,Add,1600,6400,0.01,0.45,0,0,0,0
16,Conv,1719,6876,0.01,0.48,12845056,12.85,1868.10,42.93
17,Conv,10091,40364,0.04,2.84,115605504,115.61,2864.07,65.81
18,Conv,19841,79364,0.08,5.58,231211008,231.21,2913.30,66.94
19,Add,864,3456,0.00,0.24,0,0,0,0
20,Conv,19841,79364,0.08,5.58,231211008,231.21,2913.30,66.94
21,Conv,19841,79364,0.08,5.58,231211008,231.21,2913.30,66.94
22,Add,864,3456,0.00,0.24,0,0,0,0
23,Conv,1966,7864,0.01,0.55,12845056,12.85,1633.40,37.53
24,Conv,13336,53344,0.05,3.75,115605504,115.61,2167.17,49.80
25,Conv,26346,105384,0.11,7.41,231211008,231.21,2193.99,50.41
26,Add,544,2176,0.00,0.15,0,0,0,0
27,Conv,26346,105384,0.11,7.41,231211008,231.21,2193.99,50.41
28,Conv,26346,105384,0.11,7.41,231211008,231.21,2193.99,50.41
29,Add,544,2176,0.00,0.15,0,0,0,0
30,AveragePool,12744,50976,0.05,3.58,0,0,0,0
31,Fc,8517,34068,0.03,2.40,1024000,1.02,30.06,93.93
