ins_idx,latency(cycles),latency(ns)
1,54636,218544
2,14284,57136
3,9147,36588
4,2479,9916
5,20306,81224
6,9147,36588
7,12578,50312
8,9147,36588
9,20310,81240
10,9147,36588
11,12578,50312
12,9148,36592
13,20310,81240
14,9217,36868
15,12578,50312
16,19351,77404
17,6955,27820
18,22070,88280
19,9922,39688
20,6306,25224
21,9916,39664
22,22070,88280
23,9969,39876
24,6306,25224
25,9950,39800
26,22084,88336
27,9915,39660
28,6306,25224
29,9951,39804
30,22074,88296
31,9990,39960
32,6306,25224
33,23987,95948
34,6643,26572
35,26288,105152
36,11831,47324
37,3362,13448
38,11831,47324
39,26287,105148
40,11831,47324
41,3362,13448
42,11831,47324
43,26288,105152
44,11831,47324
45,3362,13448
46,11831,47324
47,26287,105148
48,13059,52236
49,3362,13448
50,13055,52220
51,26287,105148
52,13132,52528
53,3362,13448
54,13060,52240
55,26288,105152
56,13055,52220
57,3362,13448
58,24202,96808
59,6854,27416
60,26287,105148
61,11831,47324
62,2082,8328
63,11831,47324
64,26288,105152
65,11831,47324
66,2082,8328
67,11831,47324
68,26287,105148
69,11831,47324
70,2082,8328
71,50348,201392
72,33531,134124
