Index,Name,Type
86,/features/stage2/unit3/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
87,/features/stage2/unit3/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
88,/features/stage2/unit3/branches/branch4/conv/conv/Conv_quant,Conv
89,/features/stage2/unit3/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
90,/features/stage2/unit3/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
91,/features/stage2/unit3/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv
92,/features/stage2/unit3/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv
93,/features/stage2/unit3/branches/Concat_quant/0,Remap
94,/features/stage2/unit3/branches/Concat_quant/1,Remap
95,/features/stage2/unit3/branches/Concat_quant/3,Remap
96,/features/stage2/unit4/branches/branch1/conv/conv/Conv_quant,Conv
97,/features/stage2/unit4/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
98,/features/stage2/unit4/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
99,/features/stage2/unit4/branches/branch4/pool/AveragePool_quant,AveragePool
100,/features/stage2/unit4/branches/branch2/conv_list/conv2/conv/Conv_quant,Conv
101,/features/stage2/unit4/branches/branch3/conv_list/conv2/conv/Conv_quant,Conv
102,/features/stage2/unit4/branches/branch4/conv/conv/Conv_quant,Conv
103,/features/stage2/unit4/branches/branch2/conv_list/conv3/conv/Conv_quant,Conv
104,/features/stage2/unit4/branches/branch3/conv_list/conv3/conv/Conv_quant,Conv
105,/features/stage2/unit4/branches/branch3/conv_list/conv4/conv/Conv_quant,Conv
106,/features/stage2/unit4/branches/branch3/conv_list/conv5/conv/Conv_quant,Conv
107,/features/stage2/unit4/branches/Concat_quant/0,Remap
108,/features/stage2/unit4/branches/Concat_quant/1,Remap
109,/features/stage2/unit4/branches/Concat_quant/3,Remap
110,/features/stage2/unit5/branches/branch1/conv/conv/Conv_quant,Conv
111,/features/stage2/unit5/branches/branch2/conv_list/conv1/conv/Conv_quant,Conv
112,/features/stage2/unit5/branches/branch3/conv_list/conv1/conv/Conv_quant,Conv
