ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,40111,160444,0.16,0.98,173408256,173.41,1080.80,37.25
2,Conv,319031,1276124,1.28,7.82,3699376128,3699.38,2898.92,99.92
3,MaxPool,44266,177064,0.18,1.09,0,0,0,0
4,Conv,159648,638592,0.64,3.92,1849688064,1849.69,2896.51,99.83
5,Conv,319031,1276124,1.28,7.82,3699376128,3699.38,2898.92,99.92
6,MaxPool,17464,69856,0.07,0.43,0,0,0,0
7,Conv,159648,638592,0.64,3.92,1849688064,1849.69,2896.51,99.83
8,Conv,319031,1276124,1.28,7.82,3699376128,3699.38,2898.92,99.92
9,MaxPool,8186,32744,0.03,0.20,0,0,0,0
10,Conv,169406,677624,0.68,4.15,1849688064,1849.69,2729.67,94.08
11,Conv,338547,1354188,1.35,8.30,3699376128,3699.38,2731.80,94.16
12,MaxPool,4657,18628,0.02,0.11,0,0,0,0
13,Conv,104353,417412,0.42,2.56,924844032,924.84,2215.66,76.37
14,Conv,104352,417408,0.42,2.56,924844032,924.84,2215.68,76.37
15,MaxPool,1196,4784,0.00,0.03,0,0,0,0
16,Fc,1634902,6539608,6.54,40.09,205520896,205.52,31.43,98.21
17,Fc,267058,1068232,1.07,6.55,33554432,33.55,31.41,98.16
18,Fc,66904,267616,0.27,1.64,8192000,8.19,30.61,95.66
