round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,118647,30528,826683,24717,79009,1079584
2,94224,30596,826200,6113,12152,969285
3,50566,30519,826782,5859,11963,925689
4,67109,30435,825876,5797,10916,940133
5,64511,30631,825783,5823,11621,938369
6,51073,30985,825727,5947,10374,924106
7,47724,30439,825731,6328,10773,920995
8,44580,30402,826078,6143,9429,916632
9,44327,30456,825562,5864,10590,916799
10,44469,30427,825426,5792,9880,915994
11,44735,30363,826253,5981,12934,920266
12,46648,31095,826619,6126,12228,922716
13,46813,30449,826035,5809,19282,928388
14,45185,30382,825803,6457,10694,918521
15,50831,31655,828163,5877,13077,929603
16,51324,31769,826459,6000,12168,927720
17,48359,30644,826870,5968,12899,924740
18,51623,31548,825780,5865,10736,925552
19,52915,31327,825546,5945,10360,926093
20,50358,31295,825847,5954,10555,924009
21,48965,30664,825501,6127,9921,921178
22,47509,30513,825388,5970,9520,918900
23,54935,30395,825426,6049,10635,927440
24,46717,30414,825487,5883,9441,917942
25,51600,30838,825410,6272,9682,923802
26,47098,31454,826147,5994,10241,920934
27,47142,30433,825374,5818,9525,918292
28,46671,30595,825232,5982,9443,917923
29,46223,30544,825687,6624,10434,919512
30,46776,30539,827136,6038,11625,922114
31,59328,31485,828377,5960,12474,937624
32,59067,31675,827182,5872,13291,937087
33,65360,31425,826325,6545,11518,941173
34,50157,30964,825621,6358,11366,924466
35,50899,30432,825788,6306,11102,924527
36,51044,31029,825538,5869,9669,923149
37,49546,30428,826646,5948,10856,923424
38,49061,31123,825425,5912,10946,922467
39,47436,31278,825703,5935,10352,920704
40,47024,30525,825537,5966,9799,918851
41,46823,30566,825450,5935,9525,918299
42,46568,30546,826690,6217,11472,921493
43,65724,30605,825524,5915,9766,937534
44,67385,30424,825423,6323,9438,938993
45,64631,30606,825359,5931,9549,936076
46,65429,31256,826206,6122,10947,939960
47,49137,30535,825563,5901,9918,921054
48,47522,30529,826160,5855,12342,922408
49,51862,30602,827629,6738,13083,929914
50,56448,34214,828633,6344,15717,941356
