ins_idx,latency(cycles),latency(ns)
1,12628,50512
2,13992,55968
3,3342,13368
4,3342,13368
5,5168,20672
6,1552,6208
7,6794,27176
8,3342,13368
9,5167,20668
10,1552,6208
11,10536,42144
12,1915,7660
13,1038,4152
14,2728,10912
15,768,3072
16,3542,14168
17,1038,4152
18,2728,10912
19,768,3072
20,5352,21408
21,1102,4408
22,654,2616
23,2118,8472
24,296,1184
25,1509,6036
26,654,2616
27,2118,8472
28,296,1184
29,1509,6036
30,654,2616
31,2728,10912
32,384,1536
33,1915,7660
34,654,2616
35,2728,10912
36,384,1536
37,13299,53196
38,84666,338664
