ins_idx,latency(cycles),latency(ns)
1,21842,87368
2,21894,87576
3,5003,20012
4,43602,174408
5,3329,13316
6,43679,174716
7,816,3264
8,816,3264
9,14741,58964
10,43601,174404
11,5014,20056
12,43602,174408
13,3329,13316
14,43601,174404
15,1600,6400
16,816,3264
17,816,3264
18,38774,155096
19,44929,179716
20,5155,20620
21,22573,90292
22,2672,10688
23,22537,90148
24,424,1696
25,424,1696
26,15083,60332
27,44924,179696
28,5153,20612
29,22539,90156
30,2671,10684
31,22582,90328
32,816,3264
33,424,1696
34,424,1696
35,19827,79308
36,44925,179700
37,5153,20612
38,22572,90288
39,2672,10688
40,22585,90340
41,816,3264
42,816,3264
43,424,1696
44,49884,199536
45,73008,292032
46,8286,33144
47,43865,175460
48,4243,16972
49,43864,175456
50,500,2000
51,292,1168
52,23384,93536
53,73047,292188
54,8248,32992
55,43887,175548
56,4214,16856
57,43871,175484
58,500,2000
59,292,1168
60,292,1168
61,32539,130156
62,72979,291916
63,8250,33000
64,43864,175456
65,4246,16984
66,43878,175512
67,500,2000
68,292,1168
69,292,1168
70,32547,130188
71,73019,292076
72,8290,33160
73,43871,175484
74,4229,16916
75,43889,175556
76,500,2000
77,500,2000
78,292,1168
79,45491,181964
80,69106,276424
81,195524,782096
82,113263,453052
83,15919,63676
84,10372,41488
85,20992,83968
