ins_idx,latency(cycles),latency(ns)
1,14972,59888
2,46269,185076
3,46275,185100
4,19658,78632
5,46177,184708
6,2704,10816
7,7094,28376
8,7094,28376
9,43717,174868
10,18087,72348
11,18087,72348
12,43765,175060
13,3824,15296
14,49440,197760
15,11440,45760
16,1880,7520
17,7519,30076
18,4064,16256
19,4065,16260
20,22664,90656
21,11189,44756
22,11213,44852
23,7605,30420
24,16664,66656
25,956,3824
26,956,3824
27,956,3824
28,7519,30076
29,4065,16260
30,4065,16260
31,22664,90656
32,11189,44756
33,11191,44764
34,7554,30216
35,16664,66656
36,956,3824
37,956,3824
38,956,3824
39,7519,30076
40,4065,16260
41,4065,16260
42,22664,90656
43,11155,44620
44,11156,44624
45,7602,30408
46,16646,66584
47,956,3824
48,956,3824
49,956,3824
50,7519,30076
51,4065,16260
52,4065,16260
53,22664,90656
54,11188,44752
55,11190,44760
56,7552,30208
57,16671,66684
58,956,3824
59,956,3824
60,956,3824
61,58885,235540
62,11224,44896
63,7123,28492
64,63753,255012
65,23104,92416
66,944,3776
67,944,3776
68,17710,70840
69,9889,39556
70,9892,39568
71,18632,74528
72,15504,62016
73,12893,51572
74,6666,26664
75,18034,72136
76,17168,68672
77,18034,72136
78,18034,72136
79,944,3776
80,336,1344
81,640,2560
82,19587,78348
83,9894,39576
84,9855,39420
85,18632,74528
86,17075,68300
87,12892,51568
88,6665,26660
89,18034,72136
90,17114,68456
91,18034,72136
92,18034,72136
93,944,3776
94,336,1344
95,640,2560
96,19507,78028
97,9942,39768
98,9894,39576
99,18632,74528
100,17104,68416
101,12880,51520
102,6665,26660
103,18034,72136
104,17119,68476
105,18034,72136
106,18034,72136
107,944,3776
108,336,1344
109,640,2560
110,19545,78180
111,9856,39424
112,9937,39748
113,18632,74528
114,17111,68444
115,12976,51904
116,6666,26664
117,18034,72136
118,17121,68484
119,18034,72136
120,18034,72136
121,944,3776
122,336,1344
123,640,2560
124,19512,78048
125,9929,39716
126,9889,39556
127,18632,74528
128,17073,68292
129,12886,51544
130,6672,26688
131,18034,72136
132,17079,68316
133,18034,72136
134,18034,72136
135,944,3776
136,336,1344
137,640,2560
138,19509,78036
139,9931,39724
140,9893,39572
141,18632,74528
142,17081,68324
143,12890,51560
144,6666,26664
145,18034,72136
146,17080,68320
147,18034,72136
148,18034,72136
149,944,3776
150,336,1344
151,640,2560
152,19513,78052
153,9854,39416
154,9858,39432
155,18632,74528
156,17076,68304
157,12894,51576
158,6753,27012
159,18034,72136
160,17116,68464
161,18034,72136
162,18034,72136
163,336,1344
164,640,2560
165,640,2560
166,9928,39712
167,13089,52356
168,4811,19244
169,5535,22140
170,20564,82256
171,25624,102496
172,10492,41968
173,544,2176
174,192,768
175,6499,25996
176,6830,27320
177,6830,27320
178,7112,28448
179,4921,19684
180,4923,19692
181,6017,24068
182,6574,26296
183,7915,31660
184,6500,26000
185,6495,25980
186,160,640
187,160,640
188,160,640
189,160,640
190,160,640
191,6583,26332
192,6830,27320
193,6830,27320
194,7112,28448
195,4918,19672
196,4923,19692
197,6017,24068
198,6554,26216
199,7914,31656
200,6502,26008
201,6498,25992
202,160,640
203,160,640
204,160,640
205,160,640
206,160,640
207,6552,26208
208,6830,27320
209,6830,27320
210,7112,28448
211,5001,20004
212,4917,19668
213,6017,24068
214,6499,25996
215,7914,31656
216,6500,26000
217,6497,25988
218,160,640
219,160,640
220,160,640
221,160,640
222,160,640
223,49352,197408
224,25212,100848
