ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,21842,87368,0.09,1.11,21676032,21.68,248.10,17.10
2,Conv,21894,87576,0.09,1.11,115605504,115.61,1320.06,91.00
3,Conv,5003,20012,0.02,0.25,25690112,25.69,1283.74,88.49
4,Conv,43602,174408,0.17,2.21,115605504,115.61,662.85,45.69
5,Conv,3329,13316,0.01,0.17,12845056,12.85,964.63,66.50
6,Conv,43679,174716,0.17,2.21,115605504,115.61,661.68,45.61
7,Remap,816,3264,0.00,0.04,0,0,0,0
8,Remap,816,3264,0.00,0.04,0,0,0,0
9,Conv,14741,58964,0.06,0.75,77070336,77.07,1307.07,90.10
10,Conv,43601,174404,0.17,2.21,231211008,231.21,1325.72,91.39
11,Conv,5014,20056,0.02,0.25,25690112,25.69,1280.92,88.30
12,Conv,43602,174408,0.17,2.21,115605504,115.61,662.85,45.69
13,Conv,3329,13316,0.01,0.17,12845056,12.85,964.63,66.50
14,Conv,43601,174404,0.17,2.21,115605504,115.61,662.86,45.69
15,Remap,1600,6400,0.01,0.08,0,0,0,0
16,Remap,816,3264,0.00,0.04,0,0,0,0
17,Remap,816,3264,0.00,0.04,0,0,0,0
18,Conv,38774,155096,0.16,1.96,205520896,205.52,1325.12,91.35
19,Conv,44929,179716,0.18,2.27,231211008,231.21,1286.54,88.69
20,Conv,5155,20620,0.02,0.26,25690112,25.69,1245.88,85.88
21,Conv,22573,90292,0.09,1.14,115605504,115.61,1280.35,88.26
22,Conv,2672,10688,0.01,0.14,12845056,12.85,1201.82,82.85
23,Conv,22537,90148,0.09,1.14,115605504,115.61,1282.40,88.40
24,Remap,424,1696,0.00,0.02,0,0,0,0
25,Remap,424,1696,0.00,0.02,0,0,0,0
26,Conv,15083,60332,0.06,0.76,77070336,77.07,1277.44,88.06
27,Conv,44924,179696,0.18,2.27,231211008,231.21,1286.68,88.70
28,Conv,5153,20612,0.02,0.26,25690112,25.69,1246.37,85.92
29,Conv,22539,90156,0.09,1.14,115605504,115.61,1282.28,88.39
30,Conv,2671,10684,0.01,0.14,12845056,12.85,1202.27,82.88
31,Conv,22582,90328,0.09,1.14,115605504,115.61,1279.84,88.22
32,Remap,816,3264,0.00,0.04,0,0,0,0
33,Remap,424,1696,0.00,0.02,0,0,0,0
34,Remap,424,1696,0.00,0.02,0,0,0,0
35,Conv,19827,79308,0.08,1.00,102760448,102.76,1295.71,89.32
36,Conv,44925,179700,0.18,2.27,231211008,231.21,1286.65,88.69
37,Conv,5153,20612,0.02,0.26,25690112,25.69,1246.37,85.92
38,Conv,22572,90288,0.09,1.14,115605504,115.61,1280.41,88.26
39,Conv,2672,10688,0.01,0.14,12845056,12.85,1201.82,82.85
40,Conv,22585,90340,0.09,1.14,115605504,115.61,1279.67,88.21
41,Remap,816,3264,0.00,0.04,0,0,0,0
42,Remap,816,3264,0.00,0.04,0,0,0,0
43,Remap,424,1696,0.00,0.02,0,0,0,0
44,Conv,49884,199536,0.20,2.52,231211008,231.21,1158.74,79.88
45,Conv,73008,292032,0.29,3.69,292626432,292.63,1002.04,69.07
46,Conv,8286,33144,0.03,0.42,32514048,32.51,980.99,67.62
47,Conv,43865,175460,0.18,2.22,146313216,146.31,833.88,57.48
48,Conv,4243,16972,0.02,0.21,16257024,16.26,957.87,66.03
49,Conv,43864,175456,0.18,2.22,146313216,146.31,833.90,57.48
50,Remap,500,2000,0.00,0.03,0,0,0,0
51,Remap,292,1168,0.00,0.01,0,0,0,0
52,Conv,23384,93536,0.09,1.18,97542144,97.54,1042.83,71.89
53,Conv,73047,292188,0.29,3.70,292626432,292.63,1001.50,69.04
54,Conv,8248,32992,0.03,0.42,32514048,32.51,985.51,67.94
55,Conv,43887,175548,0.18,2.22,146313216,146.31,833.47,57.45
56,Conv,4214,16856,0.02,0.21,16257024,16.26,964.47,66.48
57,Conv,43871,175484,0.18,2.22,146313216,146.31,833.77,57.47
58,Remap,500,2000,0.00,0.03,0,0,0,0
59,Remap,292,1168,0.00,0.01,0,0,0,0
60,Remap,292,1168,0.00,0.01,0,0,0,0
61,Conv,32539,130156,0.13,1.65,130056192,130.06,999.23,68.88
62,Conv,72979,291916,0.29,3.69,292626432,292.63,1002.43,69.10
63,Conv,8250,33000,0.03,0.42,32514048,32.51,985.27,67.92
64,Conv,43864,175456,0.18,2.22,146313216,146.31,833.90,57.48
65,Conv,4246,16984,0.02,0.21,16257024,16.26,957.20,65.98
66,Conv,43878,175512,0.18,2.22,146313216,146.31,833.64,57.47
67,Remap,500,2000,0.00,0.03,0,0,0,0
68,Remap,292,1168,0.00,0.01,0,0,0,0
69,Remap,292,1168,0.00,0.01,0,0,0,0
70,Conv,32547,130188,0.13,1.65,130056192,130.06,998.99,68.86
71,Conv,73019,292076,0.29,3.69,292626432,292.63,1001.88,69.06
72,Conv,8290,33160,0.03,0.42,32514048,32.51,980.52,67.59
73,Conv,43871,175484,0.18,2.22,146313216,146.31,833.77,57.47
74,Conv,4229,16916,0.02,0.21,16257024,16.26,961.04,66.25
75,Conv,43889,175556,0.18,2.22,146313216,146.31,833.43,57.45
76,Remap,500,2000,0.00,0.03,0,0,0,0
77,Remap,500,2000,0.00,0.03,0,0,0,0
78,Remap,292,1168,0.00,0.01,0,0,0,0
79,Conv,45491,181964,0.18,2.30,187858944,187.86,1032.40,71.17
80,Conv,69106,276424,0.28,3.50,277385472,277.39,1003.48,69.17
81,Conv,195524,782096,0.78,9.89,682795008,682.80,873.03,60.18
82,Conv,113263,453052,0.45,5.73,301989888,301.99,666.57,45.95
83,Conv,15919,63676,0.06,0.81,41943040,41.94,658.69,45.41
84,AveragePool,10372,41488,0.04,0.52,0,0,0,0
85,Fc,20992,83968,0.08,1.06,2560000,2.56,30.49,95.27
