OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
64,8,224,224,3,3,1,1,1,1,1,1,sta,86765
64,8,224,224,3,3,1,1,1,1,1,1,dyn,86763
128,64,112,112,3,3,1,1,1,1,1,1,sta,346464
128,64,112,112,3,3,1,1,1,1,1,1,dyn,346760
256,128,56,56,3,3,1,1,1,1,1,1,sta,346464
256,128,56,56,3,3,1,1,1,1,1,1,dyn,347577
256,256,56,56,3,3,1,1,1,1,1,1,sta,692725
256,256,56,56,3,3,1,1,1,1,1,1,dyn,695032
512,256,28,28,3,3,1,1,1,1,1,1,sta,353525
512,256,28,28,3,3,1,1,1,1,1,1,dyn,358152
512,512,28,28,3,3,1,1,1,1,1,1,sta,706858
512,512,28,28,3,3,1,1,1,1,1,1,dyn,716099
512,512,14,14,3,3,1,1,1,1,1,1,sta,198066
512,512,14,14,3,3,1,1,1,1,1,1,dyn,207367
512,512,14,14,3,3,1,1,1,1,1,1,sta,198064
512,512,14,14,3,3,1,1,1,1,1,1,dyn,207298
