ins_idx,latency(cycles),latency(ns)
1,22529,90116
2,69373,277492
3,69374,277496
4,24358,97432
5,5682,22728
6,82472,329888
7,17446,69784
8,3200,12800
9,3200,12800
10,3276,13104
11,17446,69784
12,18814,75256
13,8420,33680
14,3208,12832
15,13592,54368
16,648,2592
17,648,2592
18,1264,5056
19,4186,16744
20,4187,16748
21,4186,16744
22,23206,92824
23,18771,75084
24,9153,36612
25,4187,16748
26,13590,54360
27,648,2592
28,648,2592
29,648,2592
30,4679,18716
31,4680,18720
32,4680,18720
33,26086,104344
34,18768,75072
35,9119,36476
36,4680,18720
37,13567,54268
38,648,2592
39,648,2592
40,648,2592
41,27735,110940
42,4750,19000
43,6648,26592
44,9119,36476
45,4493,17972
46,792,3168
47,336,1344
48,5710,22840
49,3990,15960
50,3946,15784
51,17446,69784
52,4603,18412
53,4642,18568
54,7718,30872
55,6614,26456
56,4559,18236
57,4625,18500
58,6613,26452
59,488,1952
60,488,1952
61,488,1952
62,7767,31068
63,7683,30732
64,7685,30740
65,17446,69784
66,8195,32780
67,8194,32776
68,7686,30744
69,8195,32780
70,8195,32780
71,8194,32776
72,8194,32776
73,488,1952
74,488,1952
75,488,1952
76,7685,30740
77,7715,30860
78,7768,31072
79,17446,69784
80,8195,32780
81,8195,32780
82,7772,31088
83,8195,32780
84,8195,32780
85,8195,32780
86,8195,32780
87,488,1952
88,488,1952
89,488,1952
90,7718,30872
91,7684,30736
92,7766,31064
93,17446,69784
94,9776,39104
95,9776,39104
96,7720,30880
97,9776,39104
98,9776,39104
99,9776,39104
100,9775,39100
101,488,1952
102,488,1952
103,488,1952
104,7684,30736
105,7722,30888
106,3625,14500
107,3951,15804
108,9776,39104
109,9776,39104
110,2731,10924
111,416,1664
112,128,512
113,2999,11996
114,2999,11996
115,3903,15612
116,5926,23704
117,2728,10912
118,2728,10912
119,8827,35308
120,2095,8380
121,2728,10912
122,2728,10912
123,192,768
124,224,896
125,128,512
126,224,896
127,224,896
128,4626,18504
129,4626,18504
130,6072,24288
131,9382,37528
132,2728,10912
133,2728,10912
134,8827,35308
135,3180,12720
136,2728,10912
137,2728,10912
138,192,768
139,224,896
140,128,512
141,224,896
142,224,896
143,65702,262808
144,33518,134072
