ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,86767,347068,0.35,1.09,173408256,173.41,499.64,34.44
2,Conv,692724,2770896,2.77,8.67,3699376128,3699.38,1335.08,92.03
3,MaxPool,63238,252952,0.25,0.79,0,0,0,0
4,Conv,346461,1385844,1.39,4.34,1849688064,1849.69,1334.70,92.01
5,Conv,692723,2770892,2.77,8.67,3699376128,3699.38,1335.08,92.03
6,MaxPool,25220,100880,0.10,0.32,0,0,0,0
7,Conv,346464,1385856,1.39,4.34,1849688064,1849.69,1334.69,92.01
8,Conv,692725,2770900,2.77,8.67,3699376128,3699.38,1335.08,92.03
9,Conv,692722,2770888,2.77,8.67,3699376128,3699.38,1335.09,92.03
10,MaxPool,12932,51728,0.05,0.16,0,0,0,0
11,Conv,353530,1414120,1.41,4.42,1849688064,1849.69,1308.01,90.17
12,Conv,706860,2827440,2.83,8.84,3699376128,3699.38,1308.38,90.19
13,Conv,706862,2827448,2.83,8.84,3699376128,3699.38,1308.38,90.19
14,MaxPool,7300,29200,0.03,0.09,0,0,0,0
15,Conv,198065,792260,0.79,2.48,924844032,924.84,1167.35,80.47
16,Conv,198064,792256,0.79,2.48,924844032,924.84,1167.36,80.47
17,Conv,198066,792264,0.79,2.48,924844032,924.84,1167.34,80.47
18,MaxPool,2180,8720,0.01,0.03,0,0,0,0
19,Fc,1634913,6539652,6.54,20.46,205520896,205.52,31.43,98.21
20,Fc,267068,1068272,1.07,3.34,33554432,33.55,31.41,98.16
21,Fc,66874,267496,0.27,0.84,8192000,8.19,30.62,95.70
