ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,54500,218000,0.22,12.16,236027904,236.03,1082.70,37.32
2,MaxPool,14284,57136,0.06,3.19,0,0,0,0
3,Conv,20189,80756,0.08,4.50,231211008,231.21,2863.08,98.68
4,Conv,20188,80752,0.08,4.50,231211008,231.21,2863.22,98.69
5,Add,3170,12680,0.01,0.71,0,0,0,0
6,Conv,20188,80752,0.08,4.50,231211008,231.21,2863.22,98.69
7,Conv,20188,80752,0.08,4.50,231211008,231.21,2863.22,98.69
8,Add,3170,12680,0.01,0.71,0,0,0,0
9,Conv,1941,7764,0.01,0.43,12845056,12.85,1654.44,57.02
10,Conv,10837,43348,0.04,2.42,115605504,115.61,2666.92,91.92
11,Conv,21408,85632,0.09,4.78,231211008,231.21,2700.05,93.06
12,Add,1602,6408,0.01,0.36,0,0,0,0
13,Conv,21408,85632,0.09,4.78,231211008,231.21,2700.05,93.06
14,Conv,21408,85632,0.09,4.78,231211008,231.21,2700.05,93.06
15,Add,1602,6408,0.01,0.36,0,0,0,0
16,Conv,1854,7416,0.01,0.41,12845056,12.85,1732.07,59.70
17,Conv,13277,53108,0.05,2.96,115605504,115.61,2176.80,75.03
18,Conv,26287,105148,0.11,5.87,231211008,231.21,2198.91,75.79
19,Add,866,3464,0.00,0.19,0,0,0,0
20,Conv,26288,105152,0.11,5.87,231211008,231.21,2198.83,75.79
21,Conv,26287,105148,0.11,5.87,231211008,231.21,2198.91,75.79
22,Add,866,3464,0.00,0.19,0,0,0,0
23,Conv,1907,7628,0.01,0.43,12845056,12.85,1683.93,58.04
24,Conv,13276,53104,0.05,2.96,115605504,115.61,2176.96,75.03
25,Conv,26288,105152,0.11,5.87,231211008,231.21,2198.83,75.79
26,Add,546,2184,0.00,0.12,0,0,0,0
27,Conv,26287,105148,0.11,5.87,231211008,231.21,2198.91,75.79
28,Conv,26287,105148,0.11,5.87,231211008,231.21,2198.91,75.79
29,Add,546,2184,0.00,0.12,0,0,0,0
30,AveragePool,12716,50864,0.05,2.84,0,0,0,0
31,Fc,8500,34000,0.03,1.90,1024000,1.02,30.12,94.12
