ins_idx,latency(cycles),latency(ns)
1,7103,28412
2,7108,28432
3,1939,7756
4,13832,55328
5,1883,7532
6,13901,55604
7,816,3264
8,816,3264
9,5101,20404
10,13833,55332
11,1939,7756
12,13832,55328
13,1883,7532
14,13833,55332
15,1600,6400
16,816,3264
17,816,3264
18,12256,49024
19,23284,93136
20,3117,12468
21,17509,70036
22,1697,6788
23,17512,70048
24,1012,4048
25,620,2480
26,8894,35576
27,26155,104620
28,3117,12468
29,17541,70164
30,1764,7056
31,17555,70220
32,1012,4048
33,1012,4048
34,620,2480
35,19425,77700
36,31742,126968
37,3949,15796
38,20176,80704
39,2079,8316
40,20233,80932
41,292,1168
42,292,1168
43,10014,40056
44,33533,134132
45,3945,15780
46,20241,80964
47,2112,8448
48,20178,80712
49,552,2208
50,552,2208
51,292,1168
52,23886,95544
53,66194,264776
54,141065,564260
55,130433,521732
56,21137,84548
57,8392,33568
58,16844,67376
