ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,7103,28412,0.03,0.83,21676032,21.68,762.92,17.53
2,Conv,7108,28432,0.03,0.83,115605504,115.61,4066.03,93.43
3,Conv,1939,7756,0.01,0.23,25690112,25.69,3312.29,76.11
4,Conv,13832,55328,0.06,1.62,115605504,115.61,2089.46,48.01
5,Conv,1883,7532,0.01,0.22,12845056,12.85,1705.40,39.19
6,Conv,13901,55604,0.06,1.63,115605504,115.61,2079.09,47.77
7,Remap,816,3264,0.00,0.10,0,0,0,0
8,Remap,816,3264,0.00,0.10,0,0,0,0
9,Conv,5101,20404,0.02,0.60,77070336,77.07,3777.22,86.79
10,Conv,13833,55332,0.06,1.62,231211008,231.21,4178.61,96.02
11,Conv,1939,7756,0.01,0.23,25690112,25.69,3312.29,76.11
12,Conv,13832,55328,0.06,1.62,115605504,115.61,2089.46,48.01
13,Conv,1883,7532,0.01,0.22,12845056,12.85,1705.40,39.19
14,Conv,13833,55332,0.06,1.62,115605504,115.61,2089.31,48.01
15,Remap,1600,6400,0.01,0.19,0,0,0,0
16,Remap,816,3264,0.00,0.10,0,0,0,0
17,Remap,816,3264,0.00,0.10,0,0,0,0
18,Conv,12256,49024,0.05,1.44,205520896,205.52,4192.25,96.33
19,Conv,23284,93136,0.09,2.73,260112384,260.11,2792.82,64.17
20,Conv,3117,12468,0.01,0.37,32514048,32.51,2607.80,59.92
21,Conv,17509,70036,0.07,2.05,146313216,146.31,2089.11,48.00
22,Conv,1697,6788,0.01,0.20,16257024,16.26,2394.97,55.03
23,Conv,17512,70048,0.07,2.05,146313216,146.31,2088.76,48.00
24,Remap,1012,4048,0.00,0.12,0,0,0,0
25,Remap,620,2480,0.00,0.07,0,0,0,0
26,Conv,8894,35576,0.04,1.04,97542144,97.54,2741.80,63.00
27,Conv,26155,104620,0.10,3.07,292626432,292.63,2797.04,64.27
28,Conv,3117,12468,0.01,0.37,32514048,32.51,2607.80,59.92
29,Conv,17541,70164,0.07,2.06,146313216,146.31,2085.30,47.92
30,Conv,1764,7056,0.01,0.21,16257024,16.26,2304.00,52.94
31,Conv,17555,70220,0.07,2.06,146313216,146.31,2083.64,47.88
32,Remap,1012,4048,0.00,0.12,0,0,0,0
33,Remap,1012,4048,0.00,0.12,0,0,0,0
34,Remap,620,2480,0.00,0.07,0,0,0,0
35,Conv,19425,77700,0.08,2.28,260112384,260.11,3347.65,76.92
36,Conv,31742,126968,0.13,3.72,308883456,308.88,2432.77,55.90
37,Conv,3949,15796,0.02,0.46,36227072,36.23,2293.43,52.70
38,Conv,20176,80704,0.08,2.36,163021824,163.02,2020.00,46.42
39,Conv,2079,8316,0.01,0.24,18113536,18.11,2178.15,50.05
40,Conv,20233,80932,0.08,2.37,163021824,163.02,2014.31,46.28
41,Remap,292,1168,0.00,0.03,0,0,0,0
42,Remap,292,1168,0.00,0.03,0,0,0,0
43,Conv,10014,40056,0.04,1.17,108681216,108.68,2713.23,62.34
44,Conv,33533,134132,0.13,3.93,326043648,326.04,2430.77,55.85
45,Conv,3945,15780,0.02,0.46,36227072,36.23,2295.76,52.75
46,Conv,20241,80964,0.08,2.37,163021824,163.02,2013.51,46.27
47,Conv,2112,8448,0.01,0.25,18113536,18.11,2144.12,49.27
48,Conv,20178,80712,0.08,2.36,163021824,163.02,2019.80,46.41
49,Remap,552,2208,0.00,0.06,0,0,0,0
50,Remap,552,2208,0.00,0.06,0,0,0,0
51,Remap,292,1168,0.00,0.03,0,0,0,0
52,Conv,23886,95544,0.10,2.80,228802560,228.80,2394.73,55.03
53,Conv,66194,264776,0.26,7.76,406425600,406.43,1534.98,35.27
54,Conv,141065,564260,0.56,16.53,867041280,867.04,1536.60,35.31
55,Conv,130433,521732,0.52,15.29,377487360,377.49,723.53,16.63
56,Conv,21137,84548,0.08,2.48,41943040,41.94,496.09,11.40
57,AveragePool,8392,33568,0.03,0.98,0,0,0,0
58,Fc,16844,67376,0.07,1.97,2048000,2.05,30.40,94.99
