ins_idx,latency(cycles),latency(ns)
1,36610,146440
2,10159,40636
3,13742,54968
4,13833,55332
5,3168,12672
6,13829,55316
7,13832,55328
8,3168,12672
9,13833,55332
10,13890,55560
11,3168,12672
12,1996,7984
13,7904,31616
14,14962,59848
15,1600,6400
16,14962,59848
17,14962,59848
18,1600,6400
19,14962,59848
20,14962,59848
21,1600,6400
22,14962,59848
23,14962,59848
24,1600,6400
25,1719,6876
26,10091,40364
27,19841,79364
28,864,3456
29,19841,79364
30,19841,79364
31,864,3456
32,19841,79364
33,19841,79364
34,864,3456
35,19841,79364
36,19841,79364
37,864,3456
38,19841,79364
39,19841,79364
40,864,3456
41,19841,79364
42,19841,79364
43,864,3456
44,2330,9320
45,13335,53340
46,26346,105384
47,544,2176
48,26346,105384
49,26346,105384
50,544,2176
51,26346,105384
52,26346,105384
53,544,2176
54,12744,50976
55,8494,33976
