ins_idx,latency(cycles),latency(ns)
1,118100,472400
2,28356,113424
3,19479,77916
4,5007,20028
5,43602,174408
6,19476,77904
7,12576,50304
8,19481,77924
9,43683,174732
10,19477,77908
11,12576,50304
12,19541,78164
13,43603,174412
14,19479,77916
15,12576,50304
16,39953,159812
17,10119,40476
18,44934,179736
19,19827,79308
20,6304,25216
21,20084,80336
22,44925,179700
23,20059,80236
24,6304,25216
25,20124,80496
26,44922,179688
27,20053,80212
28,6304,25216
29,20083,80332
30,44923,179692
31,20051,80204
32,6304,25216
33,20111,80444
34,44926,179704
35,20086,80344
36,6304,25216
37,20050,80200
38,44925,179700
39,20052,80208
40,6304,25216
41,20058,80232
42,44932,179728
43,20086,80344
44,6304,25216
45,20058,80232
46,45000,180000
47,20085,80340
48,6304,25216
49,46195,184780
50,11691,46764
51,49666,198664
52,23189,92756
53,3360,13440
54,23201,92804
55,49666,198664
56,23195,92780
57,3360,13440
58,23275,93100
59,49663,198652
60,23189,92756
61,3360,13440
62,23196,92784
63,49663,198652
64,23195,92780
65,3360,13440
66,23192,92768
67,49665,198660
68,23188,92752
69,3360,13440
70,23201,92804
71,49667,198668
72,23202,92808
73,3360,13440
74,23204,92816
75,49664,198656
76,23204,92816
77,3360,13440
78,23206,92824
79,49664,198656
80,23189,92756
81,3360,13440
82,23199,92796
83,49666,198664
84,23186,92744
85,3360,13440
86,23184,92736
87,49666,198664
88,23193,92772
89,3360,13440
90,23191,92764
91,51935,207740
92,23195,92780
93,3360,13440
94,23197,92788
95,51993,207972
96,23194,92776
97,3360,13440
98,23197,92788
99,52003,208012
100,23245,92980
101,3360,13440
102,23190,92760
103,51977,207908
104,23183,92732
105,3360,13440
106,23195,92780
107,51974,207896
108,23277,93108
109,3360,13440
110,23193,92772
111,51974,207896
112,23195,92780
113,3360,13440
114,23185,92740
115,51973,207892
116,23244,92976
117,3360,13440
118,23186,92744
119,51985,207940
120,23233,92932
121,3360,13440
122,23187,92748
123,51973,207892
124,23230,92920
125,3360,13440
126,23202,92808
127,51974,207896
128,23190,92760
129,3360,13440
130,23199,92796
131,51974,207896
132,23192,92768
133,3360,13440
134,23196,92784
135,51964,207856
136,23190,92760
137,3360,13440
138,23201,92804
139,51985,207940
140,23273,93092
141,3360,13440
142,23203,92812
143,51972,207888
144,23187,92748
145,3360,13440
146,23194,92776
147,51978,207912
148,23266,93064
149,3360,13440
150,23196,92784
151,51938,207752
152,23193,92772
153,3360,13440
154,23286,93144
155,51969,207876
156,23202,92808
157,3360,13440
158,23259,93036
159,51983,207932
160,23192,92768
161,3360,13440
162,23187,92748
163,52001,208004
164,23189,92756
165,3360,13440
166,23188,92752
167,51977,207908
168,23191,92764
169,3360,13440
170,23192,92768
171,51982,207928
172,23190,92760
173,3360,13440
174,23257,93028
175,51967,207868
176,23186,92744
177,3360,13440
178,23193,92772
179,51973,207892
180,23183,92732
181,3360,13440
182,23200,92800
183,51973,207892
184,23182,92728
185,3360,13440
186,23185,92740
187,51980,207920
188,23237,92948
189,3360,13440
190,23201,92804
191,52018,208072
192,23192,92768
193,3360,13440
194,50688,202752
195,14874,59496
196,56729,226916
197,25306,101224
198,2080,8320
199,25327,101308
200,56730,226920
201,25307,101228
202,2080,8320
203,25327,101308
204,56730,226920
205,25339,101356
206,2080,8320
207,50308,201232
208,33516,134064
