ins_idx,latency(cycles),latency(ns)
1,55054,220216
2,14278,57112
3,6642,26568
4,3442,13768
5,20909,83636
6,6641,26564
7,12576,50304
8,9427,37708
9,20943,83772
10,6641,26564
11,12576,50304
12,9499,37996
13,20949,83796
14,6642,26568
15,12576,50304
16,9977,39908
17,6626,26504
18,12339,49356
19,5602,22408
20,6304,25216
21,5653,22612
22,12339,49356
23,5637,22548
24,6304,25216
25,5647,22588
26,12336,49344
27,5637,22548
28,6304,25216
29,5669,22676
30,12336,49344
31,5636,22544
32,6304,25216
33,12445,49780
34,4493,17972
35,13299,53196
36,6071,24284
37,3360,13440
38,6071,24284
39,13299,53196
40,6071,24284
41,3360,13440
42,6071,24284
43,13299,53196
44,6071,24284
45,3360,13440
46,6071,24284
47,13299,53196
48,8833,35332
49,3360,13440
50,8740,34960
51,13300,53200
52,8742,34968
53,3360,13440
54,8743,34972
55,13299,53196
56,8747,34988
57,3360,13440
58,12659,50636
59,3986,15944
60,13300,53200
61,6071,24284
62,2080,8320
63,6071,24284
64,13299,53196
65,6071,24284
66,2080,8320
67,6071,24284
68,13300,53200
69,6071,24284
70,2080,8320
71,50342,201368
72,33533,134132
