ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,14972,59888,0.06,0.61,38363328,38.36,640.58,14.72
2,Conv,46269,185076,0.19,1.89,398297088,398.30,2152.07,49.45
3,Conv,46275,185100,0.19,1.89,796594176,796.59,4303.59,98.89
4,MaxPool,19658,78632,0.08,0.80,0,0,0,0
5,Conv,46177,184708,0.18,1.89,589344768,589.34,3190.68,73.32
6,Remap,2704,10816,0.01,0.11,0,0,0,0
7,Conv,7094,28376,0.03,0.29,109137920,109.14,3846.13,88.38
8,Conv,7094,28376,0.03,0.29,109137920,109.14,3846.13,88.38
9,Conv,43717,174868,0.17,1.79,557494272,557.49,3188.09,73.26
10,Conv,18087,72348,0.07,0.74,305586176,305.59,4223.84,97.06
11,Conv,18087,72348,0.07,0.74,305586176,305.59,4223.84,97.06
12,Conv,43765,175060,0.18,1.79,557494272,557.49,3184.59,73.18
13,Remap,3824,15296,0.02,0.16,0,0,0,0
14,Conv,49440,197760,0.20,2.02,812851200,812.85,4110.29,94.45
15,MaxPool,11440,45760,0.05,0.47,0,0,0,0
16,Remap,1880,7520,0.01,0.08,0,0,0,0
17,Conv,7519,30076,0.03,0.31,90316800,90.32,3002.95,69.00
18,Conv,4064,16256,0.02,0.17,60211200,60.21,3703.94,85.11
19,Conv,4065,16260,0.02,0.17,60211200,60.21,3703.03,85.09
20,AveragePool,22664,90656,0.09,0.93,0,0,0,0
21,Conv,11189,44756,0.04,0.46,135475200,135.48,3026.97,69.55
22,Conv,11213,44852,0.04,0.46,135475200,135.48,3020.49,69.40
23,Conv,7605,30420,0.03,0.31,90316800,90.32,2968.99,68.22
24,Conv,16664,66656,0.07,0.68,203212800,203.21,3048.68,70.05
25,Remap,956,3824,0.00,0.04,0,0,0,0
26,Remap,956,3824,0.00,0.04,0,0,0,0
27,Remap,956,3824,0.00,0.04,0,0,0,0
28,Conv,7519,30076,0.03,0.31,90316800,90.32,3002.95,69.00
29,Conv,4065,16260,0.02,0.17,60211200,60.21,3703.03,85.09
