ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,33104,132416,0.13,3.19,140553600,140.55,1061.45,18.29
2,MaxPool,3624,14496,0.01,0.35,0,0,0,0
3,Conv,27394,109576,0.11,2.64,447897600,447.90,4087.55,70.44
4,MaxPool,2760,11040,0.01,0.27,0,0,0,0
5,Conv,11267,45068,0.05,1.08,224280576,224.28,4976.49,85.76
6,Conv,14926,59704,0.06,1.44,299040768,299.04,5008.72,86.32
7,Conv,10047,40188,0.04,0.97,199360512,199.36,4960.70,85.49
8,MaxPool,1318,5272,0.01,0.13,0,0,0,0
9,Fc,600682,2402728,2.40,57.81,75497472,75.50,31.42,98.19
10,Fc,267093,1068372,1.07,25.70,33554432,33.55,31.41,98.15
11,Fc,66880,267520,0.27,6.44,8192000,8.19,30.62,95.69
