ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,21509,86036,0.09,6.01,42581376,42.58,494.93,34.12
2,MaxPool,27492,109968,0.11,7.68,0,0,0,0
3,Conv,4863,19452,0.02,1.36,6195200,6.20,318.49,21.95
4,Conv,3233,12932,0.01,0.90,6195200,6.20,479.06,33.02
5,Conv,10689,42756,0.04,2.98,55756800,55.76,1304.07,89.89
6,Remap,1552,6208,0.01,0.43,0,0,0,0
7,Conv,14186,56744,0.06,3.96,18585600,18.59,327.53,22.58
8,Conv,3233,12932,0.01,0.90,6195200,6.20,479.06,33.02
9,Conv,10689,42756,0.04,2.98,55756800,55.76,1304.07,89.89
10,Remap,1552,6208,0.01,0.43,0,0,0,0
11,MaxPool,20004,80016,0.08,5.59,0,0,0,0
12,Conv,3586,14344,0.01,1.00,8957952,8.96,624.51,43.05
13,Conv,1665,6660,0.01,0.46,5971968,5.97,896.69,61.81
14,Conv,10357,41428,0.04,2.89,53747712,53.75,1297.38,89.43
15,Remap,768,3072,0.00,0.21,0,0,0,0
16,Conv,6976,27904,0.03,1.95,17915904,17.92,642.06,44.26
17,Conv,1665,6660,0.01,0.46,5971968,5.97,896.69,61.81
18,Conv,10355,41420,0.04,2.89,53747712,53.75,1297.63,89.45
19,Remap,768,3072,0.00,0.21,0,0,0,0
20,MaxPool,10500,42000,0.04,2.93,0,0,0,0
21,Conv,1965,7860,0.01,0.55,6230016,6.23,792.62,54.64
22,Conv,864,3456,0.00,0.24,3115008,3.12,901.33,62.13
23,Conv,6159,24636,0.02,1.72,28035072,28.04,1137.97,78.44
24,Remap,296,1184,0.00,0.08,0,0,0,0
25,Conv,2848,11392,0.01,0.80,9345024,9.35,820.31,56.55
26,Conv,862,3448,0.00,0.24,3115008,3.12,903.42,62.28
27,Conv,6162,24648,0.02,1.72,28035072,28.04,1137.42,78.41
28,Remap,296,1184,0.00,0.08,0,0,0,0
29,Conv,2852,11408,0.01,0.80,12460032,12.46,1092.22,75.29
30,Conv,1376,5504,0.01,0.38,5537792,5.54,1006.14,69.36
31,Conv,10796,43184,0.04,3.01,49840128,49.84,1154.13,79.56
32,Remap,384,1536,0.00,0.11,0,0,0,0
33,Conv,3731,14924,0.01,1.04,16613376,16.61,1113.20,76.74
34,Conv,1376,5504,0.01,0.38,5537792,5.54,1006.14,69.36
35,Conv,10796,43184,0.04,3.01,49840128,49.84,1154.13,79.56
36,Remap,384,1536,0.00,0.11,0,0,0,0
37,Conv,56732,226928,0.23,15.84,259584000,259.58,1143.90,78.85
38,AveragePool,84632,338528,0.34,23.63,0,0,0,0
