ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,54983,219932,0.22,3.90,236027904,236.03,1073.19,18.49
2,MaxPool,14278,57112,0.06,1.01,0,0,0,0
3,Conv,6641,26564,0.03,0.47,102760448,102.76,3868.41,66.67
4,Conv,3442,13768,0.01,0.24,25690112,25.69,1865.93,32.16
5,Conv,20969,83876,0.08,1.49,231211008,231.21,2756.58,47.51
6,Conv,6642,26568,0.03,0.47,102760448,102.76,3867.83,66.66
7,Add,12576,50304,0.05,0.89,0,0,0,0
8,Conv,9512,38048,0.04,0.67,102760448,102.76,2700.81,46.54
9,Conv,20943,83772,0.08,1.49,231211008,231.21,2760.00,47.56
10,Conv,6641,26564,0.03,0.47,102760448,102.76,3868.41,66.67
11,Add,12576,50304,0.05,0.89,0,0,0,0
12,Conv,9445,37780,0.04,0.67,102760448,102.76,2719.97,46.87
13,Conv,20944,83776,0.08,1.49,231211008,231.21,2759.87,47.56
14,Conv,6641,26564,0.03,0.47,102760448,102.76,3868.41,66.67
15,Add,12576,50304,0.05,0.89,0,0,0,0
16,Conv,10999,43996,0.04,0.78,205520896,205.52,4671.35,80.50
17,Conv,6626,26504,0.03,0.47,51380224,51.38,1938.58,33.41
18,Conv,12337,49348,0.05,0.88,231211008,231.21,4685.32,80.74
19,Conv,4987,19948,0.02,0.35,102760448,102.76,5151.42,88.78
20,Add,6304,25216,0.03,0.45,0,0,0,0
21,Conv,5637,22548,0.02,0.40,102760448,102.76,4557.41,78.54
22,Conv,12349,49396,0.05,0.88,231211008,231.21,4680.76,80.67
23,Conv,5639,22556,0.02,0.40,102760448,102.76,4555.79,78.51
24,Add,6304,25216,0.03,0.45,0,0,0,0
25,Conv,5651,22604,0.02,0.40,102760448,102.76,4546.12,78.35
26,Conv,12344,49376,0.05,0.88,231211008,231.21,4682.66,80.70
27,Conv,5676,22704,0.02,0.40,102760448,102.76,4526.09,78.00
28,Add,6304,25216,0.03,0.45,0,0,0,0
29,Conv,5657,22628,0.02,0.40,102760448,102.76,4541.30,78.26
30,Conv,12336,49344,0.05,0.88,231211008,231.21,4685.70,80.75
31,Conv,5670,22680,0.02,0.40,102760448,102.76,4530.88,78.08
32,Add,6304,25216,0.03,0.45,0,0,0,0
33,Conv,17240,68960,0.07,1.22,205520896,205.52,2980.29,51.36
34,Conv,4491,17964,0.02,0.32,51380224,51.38,2860.18,49.29
35,Conv,13299,53196,0.05,0.94,231211008,231.21,4346.40,74.90
