round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,92600,58548,8174873,10548,49273,8385842
2,78726,31111,8187825,7502,54860,8360024
3,91442,63269,8270021,71372,80061,8576165
4,118907,31504,8185990,8954,59834,8405189
5,89793,66719,8258176,64791,80084,8559563
6,119599,33700,8247239,74594,96780,8571912
7,132286,73891,8153188,5537,17917,8382819
8,51552,30921,8156828,6029,14696,8260026
9,81279,56981,8286398,64569,90272,8579499
10,101814,31394,8211126,65691,76715,8486740
11,180646,63952,8295691,67792,16301,8624382
12,48261,30652,8227566,9316,52426,8368221
13,83861,64509,8208948,12752,16830,8386900
14,50879,32216,8210734,72150,88350,8454329
15,122450,58984,8255883,68409,100140,8605866
16,104861,34464,8195903,15298,70018,8420544
17,112949,40811,8250660,100060,170217,8674697
18,159007,52452,8213578,24967,107520,8557524
19,156801,53631,8225799,116564,147194,8699989
20,195351,81880,8214808,41270,61585,8594894
21,217051,99973,8250444,119262,145623,8832353
22,156384,140699,8244931,96214,57454,8695682
23,183656,126120,8256217,112552,142089,8820634
24,148519,78166,8246747,95344,136584,8705360
25,189247,104620,8264228,25776,58685,8642556
26,187705,57191,8250580,95543,130503,8721522
27,184831,97523,8255913,114035,148312,8800614
28,204118,124098,8253715,91067,132694,8805692
29,179811,106933,8252874,106357,144510,8790485
30,190497,125968,8248264,25219,45789,8635737
31,265760,94607,8257370,107048,146111,8870896
32,191681,127215,8250112,109157,134871,8813036
33,145839,119530,8256737,106752,144994,8773852
34,195079,128729,8208448,24916,128831,8686003
35,187769,120702,8225991,26340,55015,8615817
36,101523,50764,8240434,103688,138961,8635370
37,183190,98214,8226169,26446,119739,8653758
38,165244,140426,8239946,26877,127133,8699626
39,180019,116755,8231402,27544,120317,8676037
40,195169,128184,8245469,25048,67451,8661321
41,147173,116847,8230855,26712,133526,8655113
42,166464,141447,8260814,98641,147816,8815182
43,197782,89151,8252542,47760,109079,8696314
44,153543,98869,8248721,117723,152567,8771423
45,198037,102856,8255133,107247,141622,8804895
46,187675,129037,8253084,23948,63991,8657735
47,199786,125001,8191977,31782,67229,8615775
48,118126,52093,8268351,120397,159929,8718896
49,215200,127167,8184366,31084,69996,8627813
50,158991,91354,8258762,118955,145035,8773097
