round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,89658,30506,3705227,4917,9992,3840300
2,68766,44851,3709726,5038,13613,3841994
3,49566,30546,3708743,4999,13524,3807378
4,71142,49984,3722447,19808,36029,3899410
5,72451,31043,3707281,7556,11851,3830182
6,65974,30495,3737954,6346,18765,3859534
7,87684,30824,3852752,5435,52008,4028703
8,124570,40403,3853709,5576,13697,4037955
9,45879,30494,3735951,5469,49704,3867497
10,77958,34743,3714493,6444,19272,3852910
11,54193,30469,3741615,6825,60064,3893166
12,92311,62569,3738374,5743,53489,3952486
13,84373,80457,3739531,5528,55622,3965511
14,83173,57560,3736485,35180,78164,3990562
15,111810,60135,3711672,6057,57796,3947470
16,79042,33043,3717066,3316,22989,3855456
17,93955,60544,3738998,5263,51169,3949929
18,77782,63644,3783123,5249,48759,3978557
19,77813,60360,3709498,10759,52482,3910912
20,52525,30927,3706456,6683,51393,3847984
21,50926,30984,3836689,5286,50338,3974223
22,77068,30783,3843304,6389,12079,3969623
23,49276,32406,3708608,5571,15585,3811446
24,53883,30576,3707508,5095,13974,3811036
25,51770,30597,3836981,5552,47120,3972020
26,76153,30931,3734106,6230,49966,3897386
27,77980,30725,3734972,5328,51467,3900472
28,48340,30999,3739753,8045,52415,3879552
29,66007,30736,3734712,6100,10837,3848392
30,47333,30579,3764416,5252,14354,3861934
31,79746,93084,3738373,7012,50926,3969141
32,93808,30712,3710455,4925,14816,3854716
33,56694,30843,3707036,7692,51828,3854093
34,46714,31081,3705886,10478,48671,3842830
35,45996,30646,3734738,5250,49277,3865907
36,95337,30896,3740365,6012,17786,3890396
37,92766,59929,3847047,4993,14940,4019675
38,80993,59863,3736187,5666,54628,3937337
39,75394,30666,3835534,5003,13727,3960324
40,74486,30770,3743967,57595,17524,3924342
41,98001,60299,3738419,6493,18158,3921370
42,81113,30704,3705045,10590,13700,3841152
43,76345,30783,3836383,4958,14022,3962491
44,75699,30774,3737173,5662,49307,3898615
45,78181,30713,3742831,5693,51285,3908703
46,79990,30932,3835069,5400,14067,3965458
47,76997,59366,3839516,5005,13845,3994729
48,74843,60300,3738265,7840,46493,3927741
49,99911,30859,3740947,6369,61704,3939790
50,98215,30785,3735302,5634,57393,3927329
