ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,12820,51280,0.05,1.39,21676032,21.68,422.70,7.28
2,Conv,10579,42316,0.04,1.14,115605504,115.61,2731.96,47.08
3,Conv,3441,13764,0.01,0.37,25690112,25.69,1866.47,32.17
4,Conv,20910,83640,0.08,2.26,115605504,115.61,1382.18,23.82
5,Conv,3442,13768,0.01,0.37,12845056,12.85,932.96,16.08
6,Conv,20943,83772,0.08,2.27,115605504,115.61,1380.00,23.78
7,Remap,1600,6400,0.01,0.17,0,0,0,0
8,Remap,1600,6400,0.01,0.17,0,0,0,0
9,Conv,7131,28524,0.03,0.77,77070336,77.07,2701.95,46.56
10,Conv,20943,83772,0.08,2.27,231211008,231.21,2760.00,47.56
11,Conv,3442,13768,0.01,0.37,25690112,25.69,1865.93,32.16
12,Conv,20956,83824,0.08,2.27,115605504,115.61,1379.15,23.77
13,Conv,3441,13764,0.01,0.37,12845056,12.85,933.24,16.08
14,Conv,20946,83784,0.08,2.27,115605504,115.61,1379.80,23.78
15,Remap,1600,6400,0.01,0.17,0,0,0,0
16,Remap,1600,6400,0.01,0.17,0,0,0,0
17,Remap,1600,6400,0.01,0.17,0,0,0,0
18,Conv,9427,37708,0.04,1.02,205520896,205.52,5450.33,93.93
19,Conv,12335,49340,0.05,1.33,231211008,231.21,4686.08,80.76
20,Conv,1583,6332,0.01,0.17,25690112,25.69,4057.19,69.92
21,Conv,12343,49372,0.05,1.34,115605504,115.61,2341.52,40.35
22,Conv,1148,4592,0.00,0.12,12845056,12.85,2797.27,48.21
23,Conv,12337,49348,0.05,1.33,115605504,115.61,2342.66,40.37
24,Remap,424,1696,0.00,0.05,0,0,0,0
25,Remap,424,1696,0.00,0.05,0,0,0,0
26,Conv,4262,17048,0.02,0.46,77070336,77.07,4520.78,77.91
27,Conv,12343,49372,0.05,1.34,231211008,231.21,4683.04,80.70
28,Conv,1582,6328,0.01,0.17,25690112,25.69,4059.75,69.96
29,Conv,12413,49652,0.05,1.34,115605504,115.61,2328.32,40.12
30,Conv,1137,4548,0.00,0.12,12845056,12.85,2824.33,48.67
31,Conv,12372,49488,0.05,1.34,115605504,115.61,2336.03,40.26
32,Remap,816,3264,0.00,0.09,0,0,0,0
33,Remap,424,1696,0.00,0.05,0,0,0,0
34,Remap,424,1696,0.00,0.05,0,0,0,0
35,Conv,5634,22536,0.02,0.61,102760448,102.76,4559.84,78.58
36,Conv,12338,49352,0.05,1.33,231211008,231.21,4684.94,80.74
37,Conv,1582,6328,0.01,0.17,25690112,25.69,4059.75,69.96
38,Conv,12340,49360,0.05,1.33,115605504,115.61,2342.09,40.36
39,Conv,1137,4548,0.00,0.12,12845056,12.85,2824.33,48.67
40,Conv,12337,49348,0.05,1.33,115605504,115.61,2342.66,40.37
41,Remap,816,3264,0.00,0.09,0,0,0,0
42,Remap,816,3264,0.00,0.09,0,0,0,0
43,Remap,424,1696,0.00,0.05,0,0,0,0
44,Conv,16357,65428,0.07,1.77,231211008,231.21,3533.82,60.90
45,Conv,32547,130188,0.13,3.52,292626432,292.63,2247.72,38.74
46,Conv,3833,15332,0.02,0.41,32514048,32.51,2120.67,36.55
47,Conv,21765,87060,0.09,2.35,146313216,146.31,1680.60,28.96
48,Conv,2092,8368,0.01,0.23,16257024,16.26,1942.76,33.48
49,Conv,21800,87200,0.09,2.36,146313216,146.31,1677.90,28.92
50,Remap,552,2208,0.00,0.06,0,0,0,0
51,Remap,344,1376,0.00,0.04,0,0,0,0
52,Conv,7607,30428,0.03,0.82,97542144,97.54,3205.67,55.24
53,Conv,32540,130160,0.13,3.52,292626432,292.63,2248.21,38.74
54,Conv,3881,15524,0.02,0.42,32514048,32.51,2094.44,36.09
55,Conv,21756,87024,0.09,2.35,146313216,146.31,1681.30,28.97
56,Conv,2022,8088,0.01,0.22,16257024,16.26,2010.02,34.64
57,Conv,21768,87072,0.09,2.35,146313216,146.31,1680.37,28.96
58,Remap,552,2208,0.00,0.06,0,0,0,0
59,Remap,344,1376,0.00,0.04,0,0,0,0
60,Remap,344,1376,0.00,0.04,0,0,0,0
61,Conv,14569,58276,0.06,1.58,130056192,130.06,2231.73,38.46
62,Conv,32542,130168,0.13,3.52,292626432,292.63,2248.07,38.74
63,Conv,3833,15332,0.02,0.41,32514048,32.51,2120.67,36.55
64,Conv,21754,87016,0.09,2.35,146313216,146.31,1681.45,28.98
65,Conv,2020,8080,0.01,0.22,16257024,16.26,2012.01,34.67
66,Conv,21769,87076,0.09,2.35,146313216,146.31,1680.29,28.96
67,Remap,552,2208,0.00,0.06,0,0,0,0
68,Remap,344,1376,0.00,0.04,0,0,0,0
69,Remap,344,1376,0.00,0.04,0,0,0,0
70,Conv,14609,58436,0.06,1.58,130056192,130.06,2225.62,38.36
71,Conv,32545,130180,0.13,3.52,292626432,292.63,2247.86,38.74
72,Conv,3835,15340,0.02,0.41,32514048,32.51,2119.56,36.53
73,Conv,21757,87028,0.09,2.35,146313216,146.31,1681.22,28.97
74,Conv,2021,8084,0.01,0.22,16257024,16.26,2011.01,34.66
75,Conv,21809,87236,0.09,2.36,146313216,146.31,1677.21,28.90
76,Remap,552,2208,0.00,0.06,0,0,0,0
77,Remap,552,2208,0.00,0.06,0,0,0,0
78,Remap,344,1376,0.00,0.04,0,0,0,0
79,Conv,19394,77576,0.08,2.10,187858944,187.86,2421.61,41.73
80,Conv,16146,64584,0.06,1.75,277385472,277.39,4294.96,74.02
81,Conv,111661,446644,0.45,12.08,682795008,682.80,1528.72,26.35
82,Conv,52332,209328,0.21,5.66,301989888,301.99,1442.66,24.86
83,Conv,7517,30068,0.03,0.81,41943040,41.94,1394.94,24.04
84,AveragePool,10406,41624,0.04,1.13,0,0,0,0
85,Fc,21031,84124,0.08,2.27,2560000,2.56,30.43,95.10
