round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,123077,73406,1527985,27826,60384,1812678
2,97788,31849,1526542,6472,13102,1675753
3,68320,40217,1498811,8888,48353,1664589
4,64611,47183,1498595,9118,11929,1631436
5,44455,30554,1498160,9112,11922,1594203
6,44504,30247,1498208,9092,11494,1593545
7,44301,44679,1498287,4727,8698,1600692
8,44154,30301,1498330,4802,8705,1586292
9,44861,30228,1499537,4949,12231,1591806
10,49478,30681,1501978,5412,11731,1599280
11,87107,32040,1498906,4815,10563,1633431
12,65981,38961,1498721,4847,9600,1618110
13,52601,31637,1498171,5042,8875,1596326
14,45735,30257,1498907,4893,9158,1588950
15,66507,40567,1498537,5172,9951,1620734
16,44657,30328,1498553,5136,8875,1587549
17,69412,48730,1498720,4816,8634,1630312
18,44423,30310,1498440,5131,9115,1587419
19,44337,30247,1498482,5144,9168,1587378
20,46178,30282,1503375,6791,15964,1602590
21,67988,32259,1502622,6301,53415,1662585
22,65043,31125,1499268,5332,9130,1609898
23,64933,31459,1498766,5174,8662,1608994
24,72963,49061,1498037,4738,8388,1633187
25,45858,30331,1498173,5150,8527,1588039
26,44377,30235,1498272,4868,8980,1586732
27,44666,30224,1498224,4743,8325,1586182
28,57228,36351,1497781,5136,8365,1604861
29,44022,30234,1498467,4774,9195,1586692
30,68286,30277,1501639,5150,11917,1617269
31,52158,31243,1501963,4700,12535,1602599
32,54058,31070,1498848,4946,33953,1622875
33,53880,30950,1498902,4714,9531,1597977
34,48969,30332,1498887,4713,8638,1591539
35,44597,30548,1498577,5377,9106,1588205
36,44546,30431,1498473,4787,8400,1586637
37,45102,30418,1498463,4686,8510,1587179
38,68866,33640,1498166,5072,8941,1614685
39,44957,30368,1498310,4830,8745,1587210
40,46656,30092,1500820,25737,11195,1614500
41,62579,30481,1503943,5348,14378,1616729
42,55755,31137,1500058,4738,9590,1601278
43,67695,31041,1499490,4949,10669,1613844
44,49083,30304,1498561,4889,8627,1591464
45,45684,30366,1501314,3760,10615,1591739
46,48879,29665,1500894,5591,11494,1596523
47,52222,31352,1498798,4899,9771,1597042
48,52132,30730,1498992,5030,9744,1596628
49,45294,30279,1498776,4926,9767,1589042
50,45526,30297,1499090,4663,10116,1589692
