round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,96660,30855,25643644,64716,78208,25914083
2,120290,90216,25649871,60094,79040,25999511
3,83476,70388,25728400,69032,75369,26026665
4,120939,89574,25698378,77921,91639,26078451
5,88463,61084,25682920,107300,138519,26078286
6,177006,121600,25688635,110406,125289,26222936
7,137131,129560,25691586,67356,106745,26132378
8,132895,52148,25692847,103728,100889,26082507
9,122749,46306,25688346,95653,141518,26094572
10,118734,93020,25691106,93966,137580,26134406
11,149881,86903,25594029,6720,16984,25854517
12,59764,97366,25682506,70538,82641,25992815
13,134000,64480,25660046,28270,76722,25963518
14,159643,54773,25711272,109209,170122,26205019
15,202626,50543,25659957,97156,151662,26161944
16,194515,127847,25659609,74710,142969,26199650
17,190842,44359,25700544,98079,143437,26177261
18,212576,150922,25659438,72900,109624,26205460
19,159022,83599,25697890,103463,134524,26178498
20,195691,126231,25660736,136872,104609,26224139
21,167489,54948,25690275,40201,148404,26101317
22,114587,102241,25649517,33756,70835,25970936
23,117999,54272,25684516,97178,141465,26095430
24,157019,63180,25692396,64166,67913,26044674
25,172661,106560,25687475,103406,111983,26182085
26,134624,86381,25701784,114105,154572,26191466
27,122284,85352,25642848,50625,65970,25967079
28,128464,86628,25620195,41943,54703,25931933
29,59197,68483,25756943,62902,75980,26023505
30,83722,64907,25639457,11351,62450,25861887
31,61291,79547,25672586,89061,119258,26021743
32,166531,68304,25660304,64805,107233,26067177
33,155283,92416,25691490,102272,146728,26188189
34,198513,90262,25697543,111624,114989,26212931
35,159326,117973,25689030,112471,129077,26207877
36,202133,138440,25667129,72188,118132,26198022
37,157772,123750,25667000,118150,64814,26131486
38,168304,47031,25679831,96342,122120,26113628
39,176824,107183,25669502,20194,54411,26028114
40,109659,43676,25694685,104978,137440,26090438
41,204152,137009,25611458,8093,49732,26010444
42,116098,58700,25659314,9421,54759,25898292
43,106375,63916,25644224,9062,50236,25873813
44,91051,40912,25651877,8662,54531,25847033
45,102983,61895,25654558,9625,51980,25881041
46,114609,62544,25692366,29039,137927,26036485
47,222746,91585,25674039,33344,53091,26074805
48,95264,72524,25681844,55942,77791,25983365
49,146672,107957,25647832,37394,52396,25992251
50,105654,64055,25686932,71051,80842,26008534
