ins_idx,latency(cycles),latency(ns)
1,54566,218264
2,14284,57136
3,9147,36588
4,2479,9916
5,20309,81236
6,9238,36952
7,12578,50312
8,9148,36592
9,20309,81236
10,9147,36588
11,12578,50312
12,9147,36588
13,20310,81240
14,9147,36588
15,12578,50312
16,19650,78600
17,6956,27824
18,22113,88452
19,9663,38652
20,6306,25224
21,9950,39800
22,22074,88296
23,9950,39800
24,6306,25224
25,9917,39668
26,22072,88288
27,9915,39660
28,6306,25224
29,9946,39784
30,22085,88340
31,9915,39660
32,6306,25224
33,10010,40040
34,22071,88284
35,9915,39660
36,6306,25224
37,9915,39660
38,22072,88288
39,9948,39792
40,6306,25224
41,9949,39796
42,22073,88292
43,9916,39664
44,6306,25224
45,9911,39644
46,22070,88280
47,9950,39800
48,6306,25224
49,25894,103576
50,6716,26864
51,26288,105152
52,13057,52228
53,3362,13448
54,13106,52424
55,26288,105152
56,13129,52516
57,3362,13448
58,13052,52208
59,26288,105152
60,13056,52224
61,3362,13448
62,13051,52204
63,26287,105148
64,13054,52216
65,3362,13448
66,13073,52292
67,26287,105148
68,13056,52224
69,3362,13448
70,13056,52224
71,26287,105148
72,13054,52216
73,3362,13448
74,13058,52232
75,26287,105148
76,13056,52224
77,3362,13448
78,13054,52216
79,26287,105148
80,13057,52228
81,3362,13448
82,13050,52200
83,26287,105148
84,13062,52248
85,3362,13448
86,13058,52232
87,26288,105152
88,13056,52224
89,3362,13448
90,13055,52220
91,29116,116464
92,13131,52524
93,3362,13448
94,13053,52212
95,29133,116532
96,13060,52240
97,3362,13448
98,13064,52256
99,29124,116496
100,13059,52236
101,3362,13448
102,13054,52216
103,29118,116472
104,13056,52224
105,3362,13448
106,13056,52224
107,29124,116496
108,13066,52264
109,3362,13448
110,13058,52232
111,29121,116484
112,13056,52224
113,3362,13448
114,13057,52228
115,29086,116344
116,13063,52252
117,3362,13448
118,13058,52232
119,29118,116472
120,13050,52200
121,3362,13448
122,13051,52204
123,29125,116500
124,13054,52216
125,3362,13448
126,13055,52220
127,29117,116468
128,13054,52216
129,3362,13448
130,13055,52220
131,29117,116468
132,13055,52220
133,3362,13448
134,13098,52392
135,29086,116344
136,13155,52620
137,3362,13448
138,13057,52228
139,29123,116492
140,13054,52216
141,3362,13448
142,13055,52220
143,29119,116476
144,13055,52220
145,3362,13448
146,13057,52228
147,29118,116472
148,13057,52228
149,3362,13448
150,13057,52228
151,29088,116352
152,13053,52212
153,3362,13448
154,13051,52204
155,29127,116508
156,13055,52220
157,3362,13448
158,13066,52264
159,29114,116456
160,13059,52236
161,3362,13448
162,13053,52212
163,29126,116504
164,13059,52236
165,3362,13448
166,13066,52264
167,29085,116340
168,13135,52540
169,3362,13448
170,13062,52248
171,29117,116468
172,13132,52528
173,3362,13448
174,13136,52544
175,29085,116340
176,13057,52228
177,3362,13448
178,13053,52212
179,29118,116472
180,13057,52228
181,3362,13448
182,13054,52216
183,29174,116696
184,13053,52212
185,3362,13448
186,13064,52256
187,29140,116560
188,13061,52244
189,3362,13448
190,13056,52224
191,29129,116516
192,13058,52232
193,3362,13448
194,24202,96808
195,8550,34200
196,26288,105152
197,11831,47324
198,2082,8328
199,11831,47324
200,26287,105148
201,11831,47324
202,2082,8328
203,11831,47324
204,26287,105148
205,11831,47324
206,2082,8328
207,50348,201392
208,33611,134444
