round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,95757,30579,11106696,3165,16977,11253174
2,82581,74891,11129496,6400,49767,11343135
3,76908,59375,11261068,5213,51173,11453737
4,83902,61972,11132915,3329,12996,11295114
5,114421,87042,11166683,70524,81711,11520381
6,124602,73253,11133822,6994,58779,11397450
7,82455,32973,11197732,88173,38618,11439951
8,93800,71092,11165152,116158,115880,11562082
9,172404,72146,11191615,99217,90663,11626045
10,135953,93696,11206168,103464,131265,11670546
11,219614,145554,11196494,101261,129988,11792911
12,184318,117513,11218368,132374,161202,11813775
13,187799,140928,11224049,113268,151214,11817258
14,215375,134465,11178548,26898,74605,11629891
15,145437,53204,11206519,97597,141048,11643805
16,146093,124075,11210336,106765,136859,11724128
17,200767,63308,11205904,96223,129693,11695895
18,315010,124082,11208007,115621,156111,11918831
19,144784,94417,11197858,144947,90108,11672114
20,138459,127099,11235863,105911,167728,11775060
21,138373,58734,11220177,25926,56306,11499516
22,121788,129564,11220897,25647,69394,11567290
23,127986,47941,11186430,27249,73085,11462691
24,98817,43679,11210671,70379,133352,11556898
25,156468,60333,11209791,134454,167599,11728645
26,145133,133663,11216647,31751,74230,11601424
27,134712,87593,11208659,121322,156173,11708459
28,200798,131865,11201447,97444,133586,11765140
29,165896,110838,11180115,109332,147049,11713230
30,196699,99756,11209308,117715,159218,11782696
31,193449,103207,11212163,101467,143031,11753317
32,202240,126062,11199917,110346,142427,11780992
33,201245,107016,11180584,30788,113332,11632965
34,139039,61863,11199993,25218,49210,11475323
35,120085,115560,11211587,25722,69692,11542646
36,165885,50437,11218830,26664,114106,11575922
37,163396,60454,11205203,99616,129155,11657824
38,163113,54303,11220963,25730,64358,11528467
39,194730,89297,11217172,111902,133190,11746291
40,185772,122402,11177904,9454,55935,11551467
41,112122,57489,11163985,8338,46963,11388897
42,148004,47936,11168957,25881,71099,11461877
43,141841,62171,11225456,24949,50769,11505186
44,158394,140572,11219405,24700,66819,11609890
45,95918,64103,11206479,124907,63342,11554749
46,144071,53631,11173812,28376,74254,11474144
47,156831,53848,11216437,96533,128732,11652381
48,191159,126226,11217377,131936,172387,11839085
49,181061,145618,11208162,114454,154084,11803379
50,212361,135792,11205570,97707,145371,11796801
