ins_idx,latency(cycles),latency(ns)
1,38519,154076
2,149484,597936
3,149485,597940
4,48228,192912
5,16607,66428
6,261882,1047528
7,33828,135312
8,5969,23876
9,5969,23876
10,5972,23888
11,33828,135312
12,36348,145392
13,34988,139952
14,6050,24200
15,52307,209228
16,648,2592
17,340,1360
18,956,3824
19,7897,31588
20,7893,31572
21,7897,31588
22,45060,180240
23,36390,145560
24,34942,139768
25,7897,31588
26,52291,209164
27,648,2592
28,648,2592
29,648,2592
30,8860,35440
31,8860,35440
32,8862,35448
33,50676,202704
34,36382,145528
35,34905,139620
36,8868,35472
37,52298,209192
38,648,2592
39,648,2592
40,648,2592
41,119446,477784
42,8866,35464
43,13092,52368
44,34941,139764
45,13874,55496
46,716,2864
47,260,1040
48,17865,71460
49,12322,49288
50,12352,49408
51,34692,138768
52,13942,55768
53,13943,55772
54,17867,71468
55,20809,83236
56,13942,55768
57,14377,57508
58,20806,83224
59,488,1952
60,488,1952
61,488,1952
62,17866,71464
63,17867,71468
64,17866,71464
65,34692,138768
66,25966,103864
67,25966,103864
68,17867,71468
69,25964,103856
70,25967,103868
71,25971,103884
72,25966,103864
73,488,1952
74,488,1952
75,488,1952
76,17866,71464
77,17865,71460
78,17866,71464
79,34692,138768
80,25967,103868
81,25971,103884
82,17867,71468
83,25968,103872
84,25966,103864
85,25966,103864
86,25966,103864
87,488,1952
88,488,1952
89,488,1952
90,17866,71464
91,17867,71468
92,17867,71468
93,34692,138768
94,31114,124456
95,31113,124452
96,17866,71464
97,31118,124472
98,31113,124452
99,31114,124456
100,31118,124472
101,488,1952
102,488,1952
103,488,1952
104,17866,71464
105,17867,71468
106,7044,28176
107,13455,53820
108,31113,124452
109,31118,124472
110,8149,32596
111,416,1664
112,128,512
113,10011,40044
114,11979,47916
115,13941,55764
116,11652,46608
117,10796,43184
118,10794,43176
119,37304,149216
120,6088,24352
121,10804,43216
122,10796,43184
123,192,768
124,224,896
125,128,512
126,224,896
127,224,896
128,15904,63616
129,19041,76164
130,22179,88716
131,18564,74256
132,10805,43220
133,10804,43216
134,37302,149208
135,9626,38504
136,10803,43212
137,10797,43188
138,192,768
139,224,896
140,128,512
141,224,896
142,224,896
143,65668,262672
144,33520,134080
