Index,Name,Type
1,/features/init_block/conv/conv/Conv_quant,Conv
2,/features/init_block/pool/MaxPool,MaxPool
3,/features/stage1/unit1/body/conv1/conv/Conv_quant,Conv
4,/features/stage1/unit1/body/conv2/conv/Conv_quant,Conv
5,/features/stage1/unit1/Add_quant,Add
6,/features/stage1/unit2/body/conv1/conv/Conv_quant,Conv
7,/features/stage1/unit2/body/conv2/conv/Conv_quant,Conv
8,/features/stage1/unit2/Add_quant,Add
9,/features/stage1/unit3/body/conv1/conv/Conv_quant,Conv
10,/features/stage1/unit3/body/conv2/conv/Conv_quant,Conv
11,/features/stage1/unit3/Add_quant,Add
12,/features/stage2/unit1/identity_conv/conv/Conv_quant,Conv
13,/features/stage2/unit1/body/conv1/conv/Conv_quant,Conv
14,/features/stage2/unit1/body/conv2/conv/Conv_quant,Conv
15,/features/stage2/unit1/Add_quant,Add
16,/features/stage2/unit2/body/conv1/conv/Conv_quant,Conv
17,/features/stage2/unit2/body/conv2/conv/Conv_quant,Conv
18,/features/stage2/unit2/Add_quant,Add
19,/features/stage2/unit3/body/conv1/conv/Conv_quant,Conv
20,/features/stage2/unit3/body/conv2/conv/Conv_quant,Conv
21,/features/stage2/unit3/Add_quant,Add
22,/features/stage2/unit4/body/conv1/conv/Conv_quant,Conv
23,/features/stage2/unit4/body/conv2/conv/Conv_quant,Conv
24,/features/stage2/unit4/Add_quant,Add
25,/features/stage3/unit1/identity_conv/conv/Conv_quant,Conv
26,/features/stage3/unit1/body/conv1/conv/Conv_quant,Conv
27,/features/stage3/unit1/body/conv2/conv/Conv_quant,Conv
28,/features/stage3/unit1/Add_quant,Add
29,/features/stage3/unit2/body/conv1/conv/Conv_quant,Conv
30,/features/stage3/unit2/body/conv2/conv/Conv_quant,Conv
31,/features/stage3/unit2/Add_quant,Add
32,/features/stage3/unit3/body/conv1/conv/Conv_quant,Conv
33,/features/stage3/unit3/body/conv2/conv/Conv_quant,Conv
34,/features/stage3/unit3/Add_quant,Add
35,/features/stage3/unit4/body/conv1/conv/Conv_quant,Conv
36,/features/stage3/unit4/body/conv2/conv/Conv_quant,Conv
37,/features/stage3/unit4/Add_quant,Add
38,/features/stage3/unit5/body/conv1/conv/Conv_quant,Conv
39,/features/stage3/unit5/body/conv2/conv/Conv_quant,Conv
40,/features/stage3/unit5/Add_quant,Add
41,/features/stage3/unit6/body/conv1/conv/Conv_quant,Conv
42,/features/stage3/unit6/body/conv2/conv/Conv_quant,Conv
43,/features/stage3/unit6/Add_quant,Add
44,/features/stage4/unit1/identity_conv/conv/Conv_quant,Conv
45,/features/stage4/unit1/body/conv1/conv/Conv_quant,Conv
46,/features/stage4/unit1/body/conv2/conv/Conv_quant,Conv
47,/features/stage4/unit1/Add_quant,Add
48,/features/stage4/unit2/body/conv1/conv/Conv_quant,Conv
49,/features/stage4/unit2/body/conv2/conv/Conv_quant,Conv
50,/features/stage4/unit2/Add_quant,Add
51,/features/stage4/unit3/body/conv1/conv/Conv_quant,Conv
52,/features/stage4/unit3/body/conv2/conv/Conv_quant,Conv
53,/features/stage4/unit3/Add_quant,Add
54,/features/final_pool/AveragePool_quant,AveragePool
55,/output/Gemm_quant,Fc
56,End,End
