ins_idx,latency(cycles),latency(ns)
1,21842,87368
2,21894,87576
3,5005,20020
4,43600,174400
5,3329,13316
6,43604,174416
7,816,3264
8,816,3264
9,14657,58628
10,43604,174416
11,5005,20020
12,43602,174408
13,3329,13316
14,43603,174412
15,1600,6400
16,816,3264
17,816,3264
18,38669,154676
19,67303,269212
20,8565,34260
21,50539,202156
22,4372,17488
23,50507,202028
24,1012,4048
25,620,2480
26,25365,101460
27,75703,302812
28,8644,34576
29,50587,202348
30,4372,17488
31,50508,202032
32,1012,4048
33,1012,4048
34,620,2480
35,56130,224520
36,73015,292060
37,8736,34944
38,46303,185212
39,4444,17776
40,46298,185192
41,292,1168
42,292,1168
43,24676,98704
44,77130,308520
45,8735,34940
46,46298,185192
47,4440,17760
48,46292,185168
49,552,2208
50,552,2208
51,292,1168
52,54831,219324
53,115870,463480
54,246930,987720
55,141534,566136
56,21055,84220
57,8324,33296
58,16882,67528
