ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,21842,87368,0.09,1.22,21676032,21.68,248.10,17.10
2,Conv,21894,87576,0.09,1.23,115605504,115.61,1320.06,91.00
3,Conv,5005,20020,0.02,0.28,25690112,25.69,1283.22,88.46
4,Conv,43600,174400,0.17,2.44,115605504,115.61,662.88,45.69
5,Conv,3329,13316,0.01,0.19,12845056,12.85,964.63,66.50
6,Conv,43604,174416,0.17,2.44,115605504,115.61,662.81,45.69
7,Remap,816,3264,0.00,0.05,0,0,0,0
8,Remap,816,3264,0.00,0.05,0,0,0,0
9,Conv,14657,58628,0.06,0.82,77070336,77.07,1314.57,90.62
10,Conv,43604,174416,0.17,2.44,231211008,231.21,1325.63,91.38
11,Conv,5005,20020,0.02,0.28,25690112,25.69,1283.22,88.46
12,Conv,43602,174408,0.17,2.44,115605504,115.61,662.85,45.69
13,Conv,3329,13316,0.01,0.19,12845056,12.85,964.63,66.50
14,Conv,43603,174412,0.17,2.44,115605504,115.61,662.83,45.69
15,Remap,1600,6400,0.01,0.09,0,0,0,0
16,Remap,816,3264,0.00,0.05,0,0,0,0
17,Remap,816,3264,0.00,0.05,0,0,0,0
18,Conv,38669,154676,0.15,2.16,205520896,205.52,1328.72,91.59
19,Conv,67303,269212,0.27,3.77,260112384,260.11,966.20,66.60
20,Conv,8565,34260,0.03,0.48,32514048,32.51,949.04,65.42
21,Conv,50539,202156,0.20,2.83,146313216,146.31,723.76,49.89
22,Conv,4372,17488,0.02,0.24,16257024,16.26,929.61,64.08
23,Conv,50507,202028,0.20,2.83,146313216,146.31,724.22,49.92
24,Remap,1012,4048,0.00,0.06,0,0,0,0
25,Remap,620,2480,0.00,0.03,0,0,0,0
26,Conv,25365,101460,0.10,1.42,97542144,97.54,961.39,66.27
27,Conv,75703,302812,0.30,4.24,292626432,292.63,966.36,66.62
28,Conv,8644,34576,0.03,0.48,32514048,32.51,940.36,64.82
29,Conv,50587,202348,0.20,2.83,146313216,146.31,723.08,49.84
30,Conv,4372,17488,0.02,0.24,16257024,16.26,929.61,64.08
31,Conv,50508,202032,0.20,2.83,146313216,146.31,724.21,49.92
32,Remap,1012,4048,0.00,0.06,0,0,0,0
33,Remap,1012,4048,0.00,0.06,0,0,0,0
34,Remap,620,2480,0.00,0.03,0,0,0,0
35,Conv,56130,224520,0.22,3.14,260112384,260.11,1158.53,79.86
36,Conv,73015,292060,0.29,4.09,308883456,308.88,1057.60,72.90
37,Conv,8736,34944,0.03,0.49,36227072,36.23,1036.72,71.46
38,Conv,46303,185212,0.19,2.59,163021824,163.02,880.19,60.67
39,Conv,4444,17776,0.02,0.25,18113536,18.11,1018.99,70.24
40,Conv,46298,185192,0.19,2.59,163021824,163.02,880.29,60.68
41,Remap,292,1168,0.00,0.02,0,0,0,0
42,Remap,292,1168,0.00,0.02,0,0,0,0
43,Conv,24676,98704,0.10,1.38,108681216,108.68,1101.08,75.90
44,Conv,77130,308520,0.31,4.32,326043648,326.04,1056.80,72.85
45,Conv,8735,34940,0.03,0.49,36227072,36.23,1036.84,71.47
46,Conv,46298,185192,0.19,2.59,163021824,163.02,880.29,60.68
47,Conv,4440,17760,0.02,0.25,18113536,18.11,1019.91,70.31
48,Conv,46292,185168,0.19,2.59,163021824,163.02,880.40,60.69
49,Remap,552,2208,0.00,0.03,0,0,0,0
50,Remap,552,2208,0.00,0.03,0,0,0,0
51,Remap,292,1168,0.00,0.02,0,0,0,0
52,Conv,54831,219324,0.22,3.07,228802560,228.80,1043.22,71.91
53,Conv,115870,463480,0.46,6.48,406425600,406.43,876.90,60.45
54,Conv,246930,987720,0.99,13.82,867041280,867.04,877.82,60.51
55,Conv,141534,566136,0.57,7.92,377487360,377.49,666.78,45.96
56,Conv,21055,84220,0.08,1.18,41943040,41.94,498.02,34.33
57,AveragePool,8324,33296,0.03,0.47,0,0,0,0
58,Fc,16882,67528,0.07,0.94,2048000,2.05,30.33,94.78
