round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,122926,29654,7154784,3609,8284,7319257
2,44412,29878,7161679,5211,14891,7256071
3,93984,78915,7253816,5688,12333,7444736
4,92739,73080,7194884,3170,18102,7381975
5,103097,71603,7245481,7960,16645,7444786
6,97330,71772,7192673,8025,16797,7386597
7,96265,67238,7212185,66488,81659,7523835
8,93368,70056,7190106,17830,31018,7402378
9,72006,74309,7220151,69098,80066,7515630
10,100514,60036,7311225,63602,75649,7611026
11,77647,59666,7219669,67291,84702,7508975
12,152260,91609,7288626,67111,85911,7685517
13,49975,31376,7215272,72563,78422,7447608
14,142610,101572,7259568,75952,88558,7668260
15,64200,33035,7235375,83598,90492,7506700
16,99414,66709,7252528,73655,60016,7552322
17,70592,58470,7231973,83127,113115,7557277
18,131493,66916,7254444,119881,179096,7751830
19,149159,135363,7224885,8321,50558,7568286
20,146020,62419,7215840,7931,48039,7480249
21,177753,57900,7222722,8502,50600,7517477
22,128078,55281,7232263,7974,47918,7471514
23,171716,65477,7222221,10649,50969,7521032
24,185691,52802,7238406,7746,47141,7531786
25,161045,60250,7233458,9266,52043,7516062
26,105785,47288,7223524,11411,50524,7438532
27,170179,66561,7222305,8190,48602,7515837
28,163869,58577,7226715,9027,51977,7510165
29,191404,60233,7219488,8160,47537,7526822
30,166112,58260,7235999,8963,52871,7522205
31,173878,68684,7228061,7626,46757,7525006
32,165798,60129,7233966,9780,55273,7524946
33,188670,69963,7214353,8022,46752,7527760
34,190223,66098,7202807,9217,52231,7520576
35,119547,53142,7216374,8054,45766,7442883
36,119501,58498,7224587,8289,51368,7462243
37,182741,50759,7222254,8234,48695,7512683
38,177713,57728,7219895,8343,49661,7513340
39,178649,69131,7227743,31436,113832,7620791
40,145364,60586,7261581,108260,141758,7717549
41,302403,126135,7265831,114989,139493,7948851
42,164046,152143,7222377,62012,77137,7677715
43,117144,85138,7219419,65333,75621,7562655
44,49437,30589,7191548,4904,17413,7293891
45,52794,30945,7287641,62993,77715,7512088
46,125273,31216,7222652,68718,80828,7528687
47,119939,97250,7269027,63472,78409,7628097
48,79712,100530,7225573,77406,92028,7575249
49,128466,100065,7251376,66574,85158,7631639
50,55728,33296,7224640,79569,82646,7475879
