ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,19407,77628,0.08,0.62,38363328,38.36,494.19,17.03
2,Conv,68979,275916,0.28,2.20,398297088,398.30,1443.54,49.75
3,Conv,69016,276064,0.28,2.20,796594176,796.59,2885.54,99.46
4,MaxPool,24364,97456,0.10,0.78,0,0,0,0
5,Conv,68896,275584,0.28,2.20,589344768,589.34,2138.53,73.71
6,Remap,2706,10824,0.01,0.09,0,0,0,0
7,Conv,9753,39012,0.04,0.31,109137920,109.14,2797.55,96.42
8,Conv,9753,39012,0.04,0.31,109137920,109.14,2797.55,96.42
9,Conv,64797,259188,0.26,2.07,557494272,557.49,2150.93,74.14
10,Conv,26964,107856,0.11,0.86,305586176,305.59,2833.28,97.65
11,Conv,26913,107652,0.11,0.86,305586176,305.59,2838.65,97.84
12,Conv,64831,259324,0.26,2.07,557494272,557.49,2149.80,74.10
13,Remap,3826,15304,0.02,0.12,0,0,0,0
14,Conv,75042,300168,0.30,2.39,812851200,812.85,2707.99,93.34
15,MaxPool,17452,69808,0.07,0.56,0,0,0,0
16,Remap,1882,7528,0.01,0.06,0,0,0,0
17,Conv,11329,45316,0.05,0.36,90316800,90.32,1993.04,68.69
18,Conv,5751,23004,0.02,0.18,60211200,60.21,2617.42,90.21
19,Conv,5752,23008,0.02,0.18,60211200,60.21,2616.97,90.20
20,AveragePool,34732,138928,0.14,1.11,0,0,0,0
21,Conv,16855,67420,0.07,0.54,135475200,135.48,2009.42,69.26
22,Conv,16878,67512,0.07,0.54,135475200,135.48,2006.68,69.16
23,Conv,11286,45144,0.05,0.36,90316800,90.32,2000.64,68.96
24,Conv,25155,100620,0.10,0.80,203212800,203.21,2019.61,69.61
25,Remap,958,3832,0.00,0.03,0,0,0,0
26,Remap,958,3832,0.00,0.03,0,0,0,0
27,Remap,958,3832,0.00,0.03,0,0,0,0
28,Conv,11295,45180,0.05,0.36,90316800,90.32,1999.04,68.90
29,Conv,5752,23008,0.02,0.18,60211200,60.21,2616.97,90.20
30,Conv,5781,23124,0.02,0.18,60211200,60.21,2603.84,89.75
31,AveragePool,34732,138928,0.14,1.11,0,0,0,0
32,Conv,16854,67416,0.07,0.54,135475200,135.48,2009.54,69.26
33,Conv,16816,67264,0.07,0.54,135475200,135.48,2014.08,69.42
34,Conv,11286,45144,0.05,0.36,90316800,90.32,2000.64,68.96
35,Conv,25155,100620,0.10,0.80,203212800,203.21,2019.61,69.61
36,Remap,958,3832,0.00,0.03,0,0,0,0
37,Remap,958,3832,0.00,0.03,0,0,0,0
