ins_idx,latency(cycles),latency(ns)
1,19407,77628
2,68979,275916
3,69016,276064
4,24364,97456
5,68896,275584
6,2706,10824
7,9753,39012
8,9753,39012
9,64797,259188
10,26964,107856
11,26913,107652
12,64831,259324
13,3826,15304
14,75042,300168
15,17452,69808
16,1882,7528
17,11329,45316
18,5751,23004
19,5752,23008
20,34732,138928
21,16855,67420
22,16878,67512
23,11286,45144
24,25155,100620
25,958,3832
26,958,3832
27,958,3832
28,11295,45180
29,5752,23008
30,5781,23124
31,34732,138928
32,16854,67416
33,16816,67264
34,11286,45144
35,25155,100620
36,958,3832
37,958,3832
38,958,3832
39,11286,45144
40,5752,23008
41,5838,23352
42,34732,138928
43,16854,67416
44,16909,67636
45,11286,45144
46,25156,100624
47,958,3832
48,958,3832
49,958,3832
50,11282,45128
51,5752,23008
52,5752,23008
53,34732,138928
54,16820,67280
55,16854,67416
56,11361,45444
57,25160,100640
58,958,3832
59,958,3832
60,958,3832
61,73454,293816
62,16820,67280
63,8814,35256
64,97847,391388
65,28729,114916
66,946,3784
67,946,3784
68,21950,87800
69,12034,48136
70,12029,48116
71,23212,92848
72,19240,76960
73,15762,63048
74,8082,32328
75,22402,89608
76,20883,83532
77,22402,89608
78,22402,89608
79,946,3784
80,338,1352
81,642,2568
82,23815,95260
83,12034,48136
84,12031,48124
85,23212,92848
86,20884,83536
87,15707,62828
88,8094,32376
89,22402,89608
90,20876,83504
91,22402,89608
92,22402,89608
93,946,3784
94,338,1352
95,642,2568
96,23819,95276
97,11995,47980
98,11997,47988
99,23212,92848
100,20880,83520
101,15794,63176
102,8159,32636
103,22402,89608
104,20933,83732
105,22402,89608
106,22402,89608
107,946,3784
108,338,1352
109,642,2568
110,23814,95256
111,12031,48124
112,12043,48172
113,23212,92848
114,20875,83500
115,15700,62800
116,8168,32672
117,22402,89608
118,20876,83504
119,22402,89608
120,22402,89608
121,946,3784
122,338,1352
123,642,2568
124,23817,95268
125,12032,48128
126,12032,48128
127,23212,92848
128,20874,83496
129,15754,63016
130,8081,32324
131,22402,89608
132,20898,83592
133,22402,89608
134,22402,89608
135,946,3784
136,338,1352
137,642,2568
138,23816,95264
139,11995,47980
140,12026,48104
141,23212,92848
142,20874,83496
143,15702,62808
144,8166,32664
145,22402,89608
146,20847,83388
147,22402,89608
148,22402,89608
149,946,3784
150,338,1352
151,642,2568
152,23866,95464
153,12068,48272
154,12060,48240
155,23212,92848
156,20874,83496
157,15783,63132
158,8082,32328
159,22402,89608
160,20910,83640
161,22402,89608
162,22402,89608
163,338,1352
164,642,2568
165,642,2568
166,12034,48136
167,15947,63788
168,4783,19132
169,5502,22008
170,25564,102256
171,31889,127556
172,10434,41736
173,546,2184
174,194,776
175,6469,25876
176,6771,27084
177,6771,27084
178,7084,28336
179,4895,19580
180,4933,19732
181,5958,23832
182,6470,25880
183,7855,31420
184,6469,25876
185,6518,26072
186,162,648
187,162,648
188,162,648
189,162,648
190,162,648
191,6546,26184
192,6771,27084
193,6771,27084
194,7084,28336
195,4951,19804
196,4930,19720
197,5958,23832
198,6474,25896
199,7855,31420
200,6469,25876
201,6468,25872
202,162,648
203,162,648
204,162,648
205,162,648
206,162,648
207,6471,25884
208,6771,27084
209,6771,27084
210,7084,28336
211,4914,19656
212,4938,19752
213,5958,23832
214,6549,26196
215,7855,31420
216,6528,26112
217,6468,25872
218,162,648
219,162,648
220,162,648
221,162,648
222,162,648
223,49324,197296
224,25241,100964
