ins_idx,latency(cycles),latency(ns)
1,51756,207024
2,20040,80160
3,3406,13624
4,3214,12856
5,4964,19856
6,1496,5984
7,6523,26092
8,3214,12856
9,4964,19856
10,1496,5984
11,6523,26092
12,3214,12856
13,9640,38560
14,2960,11840
15,20904,83616
16,3542,14168
17,1038,4152
18,2728,10912
19,768,3072
20,3541,14164
21,1806,7224
22,7607,30428
23,1136,4544
24,5168,20672
25,1806,7224
26,7607,30428
27,1136,4544
28,5168,20672
29,1806,7224
30,10047,40188
31,1504,6016
32,10536,42144
33,1915,7660
34,654,2616
35,2728,10912
36,384,1536
37,13300,53200
38,84666,338664
