M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, w_mode, latency
32,96,16,32,4,192,64,27,27,5,5,1,1,2,2,2,2,dyn,122444
32,96,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,dyn,122452
32,96,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,dyn,65724
32,96,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,dyn,65732
32,96,16,32,4,64,8,224,224,11,11,4,4,2,2,2,2,dyn,96156
32,96,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,dyn,96164
32,96,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,dyn,98224
32,96,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,dyn,98232
32,96,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,dyn,73832
32,96,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,dyn,73840
