M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, w_mode, latency
64,64,16,16,8,256,64,27,27,5,5,1,1,2,2,2,2,dyn,133724
64,64,16,16,8,128,8,224,224,11,11,4,4,2,2,2,2,sta,142972
64,64,16,32,4,128,8,224,224,11,11,4,4,2,2,2,2,sta,142964
64,64,16,32,4,128,8,224,224,11,11,4,4,2,2,2,2,dyn,147268
64,64,16,16,8,128,8,224,224,11,11,4,4,2,2,2,2,dyn,147276
32,32,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,sta,12304
32,32,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,dyn,10600
32,32,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,dyn,12304
32,32,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,sta,13704
32,32,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,10600
32,32,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,sta,14504
32,32,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,dyn,14940
32,32,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,dyn,13704
32,32,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,11820
32,32,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,dyn,11936
32,32,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,dyn,14948
32,32,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,13500
32,32,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,88672
32,32,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,dyn,89464
32,32,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,dyn,89472
32,32,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,sta,88664
32,32,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,sta,99184
32,32,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,99192
32,32,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,dyn,103272
32,32,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,dyn,103280
32,32,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,sta,113256
32,32,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,113264
32,32,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,dyn,130480
32,32,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,dyn,130488
32,32,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,sta,176528
32,32,16,32,4,64,64,56,56,3,3,1,1,1,1,1,1,sta,172992
32,32,16,32,4,64,64,56,56,3,3,1,1,1,1,1,1,dyn,173268
32,32,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,sta,176536
32,32,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,sta,173000
32,32,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,dyn,178424
32,32,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,dyn,173276
32,32,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,sta,197608
32,32,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,dyn,178432
32,32,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,sta,197616
32,32,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,dyn,206072
32,32,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,dyn,206080
32,32,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,sta,225704
32,32,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,225712
32,32,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,dyn,260440
32,32,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,dyn,260448
32,32,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,dyn,469696
32,64,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,dyn,9492
32,64,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,dyn,7772
32,64,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,sta,9852
32,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,7808
32,64,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,sta,9492
32,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,dyn,7808
32,64,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,7772
32,32,16,32,4,64,8,224,224,7,7,2,2,3,3,3,3,sta,469588
