M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, w_mode, latency
64,64,16,32,4,128,128,17,17,7,1,1,1,0,0,3,3,sta,14800
64,64,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,sta,14808
64,64,16,32,4,128,8,224,224,11,11,4,4,2,2,2,2,sta,142964
64,64,16,16,8,128,8,224,224,11,11,4,4,2,2,2,2,sta,142972
64,64,16,32,4,384,384,8,8,3,1,1,1,0,0,1,1,sta,11672
64,64,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,sta,11680
64,64,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,sta,8428
64,64,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,5380
64,64,16,32,4,128,8,299,299,3,3,2,2,0,0,0,0,sta,152776
64,64,16,16,8,128,8,299,299,3,3,2,2,0,0,0,0,sta,89932
64,64,16,32,4,256,2048,8,8,1,1,1,1,0,0,0,0,sta,15528
64,64,16,16,8,256,2048,8,8,1,1,1,1,0,0,0,0,sta,13640
64,64,16,32,4,384,2048,8,8,1,1,1,1,0,0,0,0,sta,21784
64,64,16,16,8,384,2048,8,8,1,1,1,1,0,0,0,0,sta,19888
64,64,16,32,4,512,1280,8,8,1,1,1,1,0,0,0,0,sta,17924
64,64,16,16,8,512,1280,8,8,1,1,1,1,0,0,0,0,sta,16764
64,64,16,32,4,256,192,17,17,1,7,1,1,3,3,0,0,sta,42136
64,64,16,16,8,256,192,17,17,1,7,1,1,3,3,0,0,sta,42144
64,64,16,32,4,384,448,8,8,3,3,1,1,1,1,1,1,sta,38044
64,64,16,16,8,384,448,8,8,3,3,1,1,1,1,1,1,sta,38052
64,64,16,32,4,256,160,17,17,1,7,1,1,3,3,0,0,sta,35300
64,64,16,16,8,256,160,17,17,1,7,1,1,3,3,0,0,sta,35308
64,64,16,32,4,384,1280,8,8,1,1,1,1,0,0,0,0,sta,14036
64,64,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,sta,12848
64,64,16,32,4,128,48,35,35,5,5,1,1,2,2,2,2,sta,74360
64,64,16,16,8,128,48,35,35,5,5,1,1,2,2,2,2,sta,74368
