ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,7102,28408,0.03,1.90,43352064,43.35,1526.05,35.07
2,Conv,53588,214352,0.21,14.37,924844032,924.84,4314.60,99.14
3,Conv,27159,108636,0.11,7.28,462422016,462.42,4256.62,97.81
4,Conv,27160,108640,0.11,7.28,462422016,462.42,4256.46,97.80
5,Conv,13742,54968,0.05,3.68,231211008,231.21,4206.28,96.65
6,Conv,13742,54968,0.05,3.68,231211008,231.21,4206.28,96.65
7,Conv,13742,54968,0.05,3.68,231211008,231.21,4206.28,96.65
8,Conv,13742,54968,0.05,3.68,231211008,231.21,4206.28,96.65
9,Remap,3168,12672,0.01,0.85,0,0,0,0
10,Remap,1600,6400,0.01,0.43,0,0,0,0
11,Remap,1600,6400,0.01,0.43,0,0,0,0
12,Remap,1600,6400,0.01,0.43,0,0,0,0
13,Remap,1600,6400,0.01,0.43,0,0,0,0
14,Conv,27178,108712,0.11,7.29,462422016,462.42,4253.64,97.74
15,MaxPool,5394,21576,0.02,1.45,0,0,0,0
16,Conv,14962,59848,0.06,4.01,144506880,144.51,2414.56,55.48
17,Conv,9473,37892,0.04,2.54,90316800,90.32,2383.53,54.77
18,Conv,9473,37892,0.04,2.54,90316800,90.32,2383.53,54.77
19,Conv,9473,37892,0.04,2.54,90316800,90.32,2383.53,54.77
20,Conv,9473,37892,0.04,2.54,90316800,90.32,2383.53,54.77
21,Remap,816,3264,0.00,0.22,0,0,0,0
22,Remap,620,2480,0.00,0.17,0,0,0,0
23,Remap,620,2480,0.00,0.17,0,0,0,0
24,Remap,620,2480,0.00,0.17,0,0,0,0
25,Remap,620,2480,0.00,0.17,0,0,0,0
26,Conv,17017,68068,0.07,4.56,263323648,263.32,3868.54,88.89
27,MaxPool,3666,14664,0.01,0.98,0,0,0,0
28,Conv,10083,40332,0.04,2.70,86704128,86.70,2149.76,49.40
29,Conv,3984,15936,0.02,1.07,32514048,32.51,2040.29,46.88
30,Conv,3984,15936,0.02,1.07,32514048,32.51,2040.29,46.88
31,Conv,3984,15936,0.02,1.07,32514048,32.51,2040.29,46.88
32,Conv,3984,15936,0.02,1.07,32514048,32.51,2040.29,46.88
33,Remap,448,1792,0.00,0.12,0,0,0,0
34,Remap,188,752,0.00,0.05,0,0,0,0
35,Remap,188,752,0.00,0.05,0,0,0,0
36,Remap,188,752,0.00,0.05,0,0,0,0
37,Remap,188,752,0.00,0.05,0,0,0,0
38,Conv,12966,51864,0.05,3.48,149323776,149.32,2879.14,66.16
39,MaxPool,1928,7712,0.01,0.52,0,0,0,0
40,Conv,5204,20816,0.02,1.40,37933056,37.93,1822.30,41.87
41,Conv,1748,6992,0.01,0.47,11063808,11.06,1582.35,36.36
42,Conv,1748,6992,0.01,0.47,11063808,11.06,1582.35,36.36
43,Conv,1748,6992,0.01,0.47,11063808,11.06,1582.35,36.36
44,Conv,1748,6992,0.01,0.47,11063808,11.06,1582.35,36.36
45,Remap,224,896,0.00,0.06,0,0,0,0
46,Remap,96,384,0.00,0.03,0,0,0,0
47,Remap,96,384,0.00,0.03,0,0,0,0
48,Remap,96,384,0.00,0.03,0,0,0,0
49,Remap,96,384,0.00,0.03,0,0,0,0
50,Conv,7824,31296,0.03,2.10,66633728,66.63,2129.15,48.92
51,AveragePool,12744,50976,0.05,3.42,0,0,0,0
52,Fc,8497,33988,0.03,2.28,1024000,1.02,30.13,94.15
