round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,94523,61564,4536014,42921,52737,4787759
2,93283,51631,4523151,31402,97204,4796671
3,130176,58416,4465922,4755,9598,4668867
4,45172,30333,4499848,59699,70951,4706003
5,129185,60139,4495205,7978,49572,4742079
6,106991,63156,4494572,8875,57677,4731271
7,85423,63695,4467785,68670,41046,4726619
8,106581,79852,4470824,5579,14019,4676855
9,88619,30941,4514802,26765,111127,4772254
10,96665,56967,4501091,5025,50024,4709772
11,83475,99492,4530406,72186,82957,4868516
12,124807,66300,4466271,10281,77203,4744862
13,82906,63306,4466365,5346,10832,4628755
14,58948,30537,4466400,5309,10238,4571432
15,69967,31176,4471888,41191,52996,4667218
16,123147,86227,4515090,27116,37791,4789371
17,136095,86797,4494587,62943,73905,4854327
18,89522,60087,4526820,37720,50508,4764657
19,117691,88272,4493917,5119,11920,4716919
20,47254,30656,4576673,63471,76553,4794607
21,125555,103058,4469848,6502,15539,4720502
22,60487,31176,4496543,61435,80978,4730619
23,114280,88856,4569762,73114,72015,4918027
24,89794,31939,4503726,14826,42694,4682979
25,97914,99591,4507445,8506,59692,4773148
26,86563,86695,4588448,64397,86171,4912274
27,120731,57561,4493001,9110,26545,4706948
28,88323,34282,4510707,54767,73562,4761641
29,105772,72165,4519824,14040,42295,4754096
30,72288,62980,4522198,28265,126737,4812468
31,169600,128658,4557631,83375,132118,5071382
32,100226,114963,4556547,94526,127969,4994231
33,108578,72320,4538470,97251,137691,4954310
34,169867,97318,4520554,93986,133423,5015148
35,171871,95262,4565053,38849,100714,4971749
36,132123,92332,4585965,100345,139331,5050096
37,170834,99005,4521117,122986,129663,5043605
38,175482,109247,4555274,134341,150855,5125199
39,185665,58752,4560764,98123,138093,5041397
40,163968,56657,4521561,95243,130751,4968180
41,156658,114375,4520601,93803,149305,5034742
42,145521,128333,4572123,96811,133363,5076151
43,143027,58681,4565666,98710,155686,5021770
44,325307,117648,4515326,29399,128546,5116226
45,201293,143655,4538497,7625,46781,4937851
46,118880,61265,4508316,29819,79137,4797417
47,131565,51852,4532069,25669,54406,4795561
48,179617,65322,4534603,25759,53419,4858720
49,156195,47337,4552415,27248,53827,4837022
50,157302,100098,4575584,135614,60841,5029439
