ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,10227,40908,0.04,0.92,21676032,21.68,529.87,18.26
2,Conv,10264,41056,0.04,0.92,115605504,115.61,2815.80,97.05
3,Conv,2479,9916,0.01,0.22,25690112,25.69,2590.77,89.30
4,Conv,20309,81236,0.08,1.82,115605504,115.61,1423.08,49.05
5,Conv,1824,7296,0.01,0.16,12845056,12.85,1760.56,60.68
6,Conv,20363,81452,0.08,1.83,115605504,115.61,1419.31,48.92
7,Remap,818,3272,0.00,0.07,0,0,0,0
8,Remap,818,3272,0.00,0.07,0,0,0,0
9,Conv,6915,27660,0.03,0.62,77070336,77.07,2786.35,96.04
10,Conv,20309,81236,0.08,1.82,231211008,231.21,2846.16,98.10
11,Conv,2479,9916,0.01,0.22,25690112,25.69,2590.77,89.30
12,Conv,20310,81240,0.08,1.82,115605504,115.61,1423.01,49.05
13,Conv,1824,7296,0.01,0.16,12845056,12.85,1760.56,60.68
14,Conv,20311,81244,0.08,1.82,115605504,115.61,1422.94,49.04
15,Remap,1602,6408,0.01,0.14,0,0,0,0
16,Remap,818,3272,0.00,0.07,0,0,0,0
17,Remap,818,3272,0.00,0.07,0,0,0,0
18,Conv,18078,72312,0.07,1.62,205520896,205.52,2842.14,97.96
19,Conv,22074,88296,0.09,1.98,231211008,231.21,2618.59,90.25
20,Conv,2644,10576,0.01,0.24,25690112,25.69,2429.10,83.72
21,Conv,11161,44644,0.04,1.00,115605504,115.61,2589.50,89.25
22,Conv,1440,5760,0.01,0.13,12845056,12.85,2230.04,76.86
23,Conv,11214,44856,0.04,1.01,115605504,115.61,2577.26,88.83
24,Remap,426,1704,0.00,0.04,0,0,0,0
25,Remap,426,1704,0.00,0.04,0,0,0,0
26,Conv,7491,29964,0.03,0.67,77070336,77.07,2572.10,88.65
27,Conv,22148,88592,0.09,1.99,231211008,231.21,2609.84,89.95
28,Conv,2719,10876,0.01,0.24,25690112,25.69,2362.09,81.41
29,Conv,11128,44512,0.04,1.00,115605504,115.61,2597.18,89.52
30,Conv,1440,5760,0.01,0.13,12845056,12.85,2230.04,76.86
31,Conv,11140,44560,0.04,1.00,115605504,115.61,2594.38,89.42
