round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,98204,32461,21345872,7087,54487,21538111
2,87423,69413,21358136,4010,19931,21538913
3,100644,63228,21314538,3202,17691,21499303
4,70115,42138,21402996,3860,21468,21540577
5,100784,63086,21381347,4750,26960,21576927
6,113418,73072,21381809,8699,53102,21630100
7,100883,60111,21376821,8836,51616,21598267
8,142495,97616,21355506,13635,70175,21679427
9,139532,61139,21377450,8550,53082,21639753
10,118631,61731,21381896,9640,54076,21625974
11,124249,64782,21341022,8820,49533,21588406
12,95246,40672,21337152,8493,51427,21532990
13,180351,49683,21376823,8778,52527,21668162
14,119374,60721,21338701,3477,17775,21540048
15,87565,30456,21317573,3841,18833,21458268
16,60481,31776,21389419,4419,22427,21508522
17,99490,67736,21378255,9585,49330,21604396
18,110049,59461,21355330,11677,67176,21603693
19,137265,56013,21380854,9351,50931,21634414
20,117774,59450,21377699,8836,52931,21616690
21,118466,46323,21384232,8924,51134,21609079
22,149565,55984,21359394,12254,69820,21647017
23,196242,59579,21343669,47402,144883,21791775
24,159438,95832,21346217,11825,62116,21675428
25,182241,57198,21377117,12482,62490,21691528
26,131527,60966,21376550,9194,53351,21631588
27,118177,59067,21422641,7611,59140,21666636
28,160768,80971,21358652,8903,71380,21680674
29,198820,60447,21381673,108890,152935,21902765
30,153851,124749,21420259,116950,158829,21974638
31,150321,82341,21356683,7924,63626,21660895
32,128881,53080,21417562,98592,140684,21838799
33,210334,137318,21415374,115359,151654,22030039
34,201724,124598,21411135,58242,114964,21910663
35,158905,60115,21413513,105006,142140,21879679
36,213233,148785,21407904,98661,132973,22001556
37,199169,127997,21404884,77859,58673,21868582
38,117399,49173,21386426,9117,55812,21617927
39,122653,42166,21376418,9165,50896,21601298
40,118006,59778,21388697,9424,53377,21629282
41,93099,41448,21377974,27494,113238,21653253
42,169898,108943,21406984,94378,132271,21912474
43,201130,134863,21414056,108190,147818,22006057
44,214102,92985,21376066,28563,114126,21825842
45,165109,97155,21409783,98225,131497,21901769
46,189336,120752,21370807,61111,54143,21796149
47,113225,88510,21346711,12124,59862,21620432
48,83961,66414,21401914,72929,87501,21712719
49,132291,91434,21454435,105269,179128,21962557
50,326605,91690,21395135,27756,118126,21959312
