ins_idx,latency(cycles),latency(ns)
1,54569,218276
2,14284,57136
3,20188,80752
4,20388,81552
5,3170,12680
6,20310,81240
7,20310,81240
8,3170,12680
9,20309,81236
10,20310,81240
11,3170,12680
12,1941,7764
13,11129,44516
14,21409,85636
15,1602,6408
16,21408,85632
17,21408,85632
18,1602,6408
19,21408,85632
20,21408,85632
21,1602,6408
22,21408,85632
23,21408,85632
24,1602,6408
25,1854,7416
26,13278,53112
27,26287,105148
28,866,3464
29,26287,105148
30,26287,105148
31,866,3464
32,26287,105148
33,26287,105148
34,866,3464
35,26287,105148
36,26288,105152
37,866,3464
38,26287,105148
39,26287,105148
40,866,3464
41,26287,105148
42,26287,105148
43,866,3464
44,2300,9200
45,13277,53108
46,26287,105148
47,546,2184
48,26288,105152
49,26287,105148
50,546,2184
51,26287,105148
52,26287,105148
53,546,2184
54,12716,50864
55,8495,33980
