ins_idx,latency(cycles),latency(ns)
1,54983,219932
2,14278,57112
3,20922,83688
4,20949,83796
5,3168,12672
6,20953,83812
7,20944,83776
8,3168,12672
9,20948,83792
10,20968,83872
11,3168,12672
12,1892,7568
13,6305,25220
14,10860,43440
15,1600,6400
16,10860,43440
17,10860,43440
18,1600,6400
19,10860,43440
20,10860,43440
21,1600,6400
22,10860,43440
23,10860,43440
24,1600,6400
25,1322,5288
26,6795,27180
27,13299,53196
28,864,3456
29,13300,53200
30,13300,53200
31,864,3456
32,13300,53200
33,13299,53196
34,864,3456
35,13299,53196
36,13299,53196
37,864,3456
38,13300,53200
39,13299,53196
40,864,3456
41,13299,53196
42,13299,53196
43,864,3456
44,2323,9292
45,6794,27176
46,13300,53200
47,544,2176
48,13300,53200
49,13300,53200
50,544,2176
51,13299,53196
52,13300,53200
53,544,2176
54,12710,50840
55,8496,33984
