ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,103200,412800,0.41,25.33,335329344,335.33,812.33,28.00
2,MaxPool,20046,80184,0.08,4.92,0,0,0,0
3,Conv,3383,13532,0.01,0.83,8957952,8.96,661.98,22.82
4,Conv,1728,6912,0.01,0.42,5971968,5.97,864.00,29.78
5,Conv,4941,19764,0.02,1.21,53747712,53.75,2719.48,93.73
6,Remap,1498,5992,0.01,0.37,0,0,0,0
7,Conv,6500,26000,0.03,1.60,17915904,17.92,689.07,23.75
8,Conv,1728,6912,0.01,0.42,5971968,5.97,864.00,29.78
9,Conv,4941,19764,0.02,1.21,53747712,53.75,2719.48,93.73
10,Remap,1498,5992,0.01,0.37,0,0,0,0
11,Conv,6500,26000,0.03,1.60,35831808,35.83,1378.15,47.50
12,Conv,3200,12800,0.01,0.79,23887872,23.89,1866.24,64.32
13,Conv,18969,75876,0.08,4.66,214990848,214.99,2833.45,97.66
14,Remap,2962,11848,0.01,0.73,0,0,0,0
15,MaxPool,20910,83640,0.08,5.13,0,0,0,0
16,Conv,3518,14072,0.01,0.86,17915904,17.92,1273.16,43.88
17,Conv,1024,4096,0.00,0.25,5971968,5.97,1458.00,50.25
18,Conv,5145,20580,0.02,1.26,53747712,53.75,2611.65,90.02
19,Remap,770,3080,0.00,0.19,0,0,0,0
20,Conv,3518,14072,0.01,0.86,26873856,26.87,1909.74,65.82
21,Conv,1485,5940,0.01,0.36,13436928,13.44,2262.11,77.97
22,Conv,11244,44976,0.04,2.76,120932352,120.93,2688.82,92.68
23,Remap,1138,4552,0.00,0.28,0,0,0,0
24,Conv,5145,20580,0.02,1.26,40310784,40.31,1958.74,67.51
25,Conv,1485,5940,0.01,0.36,13436928,13.44,2262.11,77.97
26,Conv,11244,44976,0.04,2.76,120932352,120.93,2688.82,92.68
27,Remap,1138,4552,0.00,0.28,0,0,0,0
28,Conv,5145,20580,0.02,1.26,53747712,53.75,2611.65,90.02
29,Conv,2434,9736,0.01,0.60,23887872,23.89,2453.56,84.57
30,Conv,19782,79128,0.08,4.85,214990848,214.99,2717.00,93.65
31,Remap,1506,6024,0.01,0.37,0,0,0,0
32,MaxPool,10542,42168,0.04,2.59,0,0,0,0
33,Conv,1892,7568,0.01,0.46,16613376,16.61,2195.21,75.66
34,Conv,808,3232,0.00,0.20,5537792,5.54,1713.43,59.06
35,Conv,5145,20580,0.02,1.26,49840128,49.84,2421.77,83.47
36,Remap,386,1544,0.00,0.09,0,0,0,0
37,Conv,26287,105148,0.11,6.45,259584000,259.58,2468.75,85.09
38,AveragePool,84672,338688,0.34,20.78,0,0,0,0
