ins_idx,latency(cycles),latency(ns)
1,70711,282844
2,6756,27024
3,84853,339412
4,5316,21264
5,47901,191604
6,63799,255196
7,42600,170400
8,2436,9744
9,600680,2402720
10,267055,1068220
11,66869,267476
