ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,7268,29072,0.03,3.90,42581376,42.58,1464.69,33.66
2,MaxPool,9999,39996,0.04,5.37,0,0,0,0
3,Conv,1890,7560,0.01,1.01,6195200,6.20,819.47,18.83
4,Conv,1835,7340,0.01,0.99,6195200,6.20,844.03,19.39
5,Conv,3578,14312,0.01,1.92,55756800,55.76,3895.81,89.52
6,Remap,1552,6208,0.01,0.83,0,0,0,0
7,Conv,4956,19824,0.02,2.66,18585600,18.59,937.53,21.54
8,Conv,1835,7340,0.01,0.99,6195200,6.20,844.03,19.39
9,Conv,3578,14312,0.01,1.92,55756800,55.76,3895.81,89.52
10,Remap,1552,6208,0.01,0.83,0,0,0,0
11,MaxPool,7122,28488,0.03,3.82,0,0,0,0
12,Conv,1476,5904,0.01,0.79,8957952,8.96,1517.27,34.86
13,Conv,1067,4268,0.00,0.57,5971968,5.97,1399.24,32.15
14,Conv,3578,14312,0.01,1.92,53747712,53.75,3755.43,86.29
15,Remap,768,3072,0.00,0.41,0,0,0,0
16,Conv,2619,10476,0.01,1.41,17915904,17.92,1710.19,39.30
17,Conv,1067,4268,0.00,0.57,5971968,5.97,1399.24,32.15
18,Conv,3577,14308,0.01,1.92,53747712,53.75,3756.48,86.32
19,Remap,768,3072,0.00,0.41,0,0,0,0
20,MaxPool,3668,14672,0.01,1.97,0,0,0,0
21,Conv,886,3544,0.00,0.48,6230016,6.23,1757.91,40.39
22,Conv,599,2396,0.00,0.32,3115008,3.12,1300.09,29.87
23,Conv,2154,8616,0.01,1.16,28035072,28.04,3253.84,74.77
24,Remap,296,1184,0.00,0.16,0,0,0,0
25,Conv,1165,4660,0.00,0.63,9345024,9.35,2005.37,46.08
26,Conv,599,2396,0.00,0.32,3115008,3.12,1300.09,29.87
27,Conv,2154,8616,0.01,1.16,28035072,28.04,3253.84,74.77
28,Remap,296,1184,0.00,0.16,0,0,0,0
29,Conv,1165,4660,0.00,0.63,12460032,12.46,2673.83,61.44
30,Conv,706,2824,0.00,0.38,5537792,5.54,1960.97,45.06
31,Conv,3577,14308,0.01,1.92,49840128,49.84,3483.37,80.04
32,Remap,384,1536,0.00,0.21,0,0,0,0
33,Conv,1445,5780,0.01,0.78,16613376,16.61,2874.29,66.05
34,Conv,706,2824,0.00,0.38,5537792,5.54,1960.97,45.06
35,Conv,3577,14308,0.01,1.92,49840128,49.84,3483.37,80.04
36,Remap,384,1536,0.00,0.21,0,0,0,0
37,Conv,17699,70796,0.07,9.50,259584000,259.58,3666.65,84.25
38,AveragePool,84700,338800,0.34,45.48,0,0,0,0
