round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,94353,30958,6780110,28450,122914,7056785
2,92892,30631,6873869,69890,73560,7140842
3,126970,88401,6818960,65806,46573,7146710
4,84401,69897,6860487,72162,84606,7171553
5,174271,61885,6731452,8885,30134,7006627
6,103778,71472,6822463,75809,86571,7160093
7,117017,90745,6757460,4400,17860,6987482
8,91952,75808,6756905,5080,27589,6957334
9,106212,74475,6822343,74009,136498,7213537
10,106637,75955,6754094,6448,21693,6964827
11,82557,59643,6851626,5310,14452,7013588
12,85711,59687,6757395,5828,13485,6922106
13,54847,31340,6793802,111286,151473,7142748
14,213490,127704,6821871,118708,151178,7432951
15,137706,59777,6833201,121697,152950,7305331
16,207404,127608,6818471,95562,128037,7377082
17,206094,134554,6798315,77619,113848,7330430
18,222776,95338,6750994,42798,49158,7161064
19,48523,31370,6789598,64487,79036,7013014
20,117918,65017,6744751,67856,76621,7072163
21,123815,90632,6777025,66509,74379,7132360
22,75375,69601,6757156,5189,19187,6926508
23,59759,72763,6776032,67280,75011,7050845
24,114354,87606,6785672,64149,79781,7131562
25,116403,94332,6871925,63175,75469,7221304
26,186683,100147,6755457,41188,52835,7136310
27,82900,66650,6868869,66715,77426,7162560
28,84102,59518,6784441,70383,44692,7043136
29,55726,32415,6859239,69500,85196,7102076
30,129475,85888,6838923,70929,81953,7207168
31,82573,64859,6788702,77725,87683,7101542
32,61274,34455,6755021,16242,23675,6890667
33,82882,74165,6788466,79846,97800,7123159
34,97157,35245,6820788,83453,97540,7134183
35,107713,128686,6794904,94775,121725,7247803
36,197271,87445,6843803,70817,118784,7318120
37,208595,128206,6822787,96325,158654,7414567
38,141260,59874,6781260,63798,77174,7123366
39,125060,95378,6776639,66989,80376,7144442
40,79129,65018,6754392,72261,81174,7051974
41,86836,87231,6753298,48338,52783,7028486
42,54306,31797,6778486,66020,78582,7009191
43,82936,61655,6782232,73172,77647,7077642
44,85416,90036,6749172,5679,15316,6945619
45,80753,60708,6727214,7361,17537,6893573
46,55709,31659,6866659,63520,75134,7092681
47,188253,87045,6779534,66711,76056,7197599
48,78189,101092,6867924,65362,80142,7192709
49,102218,92522,6780152,66839,81149,7122880
50,100302,102053,6751186,38961,18360,7010862
