ins_idx,latency(cycles),latency(ns)
1,118148,472592
2,28356,113424
3,43481,173924
4,43603,174412
5,3168,12672
6,43655,174620
7,43600,174400
8,3168,12672
9,43603,174412
10,43601,174404
11,3168,12672
12,2658,10632
13,22572,90288
14,44362,177448
15,1600,6400
16,44368,177472
17,44368,177472
18,1600,6400
19,44368,177472
20,44362,177448
21,1600,6400
22,44369,177476
23,44368,177472
24,1600,6400
25,3135,12540
26,24934,99736
27,49664,198656
28,864,3456
29,49666,198664
30,49664,198656
31,864,3456
32,49664,198656
33,49664,198656
34,864,3456
35,49664,198656
36,49667,198668
37,864,3456
38,49665,198660
39,49661,198644
40,864,3456
41,49666,198664
42,49665,198660
43,864,3456
44,3848,15392
45,28462,113848
46,56733,226932
47,544,2176
48,56733,226932
49,56730,226920
50,544,2176
51,56732,226928
52,56733,226932
53,544,2176
54,12676,50704
55,8493,33972
