round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,123048,59059,22564113,65938,89090,22901248
2,95845,66228,22480806,67381,80684,22790944
3,67930,65559,22495011,74259,85986,22788745
4,115659,96481,22542758,89808,129117,22973823
5,118186,51816,22536152,26953,72657,22805764
6,161065,106315,22509093,35859,128290,22940622
7,181494,119967,22510561,42261,109951,22964234
8,178721,130687,22517878,26474,92534,22946294
9,167901,60614,22529476,136626,171848,23066465
10,179531,123991,22550335,65666,78470,22997993
11,86393,88307,22485970,81573,95459,22837702
12,104518,89447,22498842,80076,106878,22879761
13,130980,101870,22530066,98741,142182,23003839
14,202454,125509,22523724,95097,140569,23087353
15,133622,52731,22520075,102835,149440,22958703
16,199387,96877,22525481,149924,164188,23135857
17,195311,133895,22522210,131176,169554,23152146
18,176753,74443,22526928,115191,158632,23051947
19,222506,120807,22526764,112402,149718,23132197
20,192289,136223,22560805,35641,56093,22981051
21,165525,134090,22525522,110658,107360,23043155
22,105965,97943,22530797,120861,152321,23007887
23,192463,122914,22526351,98113,142624,23082465
24,122977,50988,22512880,99363,139418,22925626
25,238244,129221,22482626,97038,163588,23110717
26,135446,51003,22519401,27870,72310,22806030
27,136350,58092,22518674,123112,157230,22993458
28,211949,140107,22491902,96175,115973,23056106
29,178791,116273,22533659,100685,152726,23082134
30,181327,120666,22525904,110005,115895,23053797
31,157570,57522,22514678,27331,107098,22864199
32,182391,122994,22535683,112347,157916,23111331
33,202780,91016,22510071,133733,156692,23094292
34,160275,97960,22519535,96068,132431,23006269
35,165334,48979,22529249,116552,159901,23020015
36,166299,112151,22540255,27115,482994,23328814
37,164503,89004,22517350,117825,148977,23037659
38,149218,129042,22490600,25288,60702,22854850
39,121992,102148,22541968,136063,137457,23039628
40,214745,123691,22526615,109396,160146,23134593
41,171908,114188,22486881,26059,107927,22906963
42,146197,51487,22445548,6265,50949,22700446
43,86589,40124,22479693,40133,15725,22662264
44,77681,72793,22449434,3787,18238,22621933
45,74911,83454,22446797,4186,19201,22628549
46,85207,34007,22428695,4951,27129,22579989
47,67788,37715,22488188,9082,51810,22654583
48,113474,67031,22496471,9050,58232,22744258
49,115566,51908,22479553,8750,52481,22708258
50,104610,58845,22482827,8817,53137,22708236
