ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,22215,88860,0.09,2.14,140553600,140.55,1581.74,36.35
2,MaxPool,2514,10056,0.01,0.24,0,0,0,0
3,Conv,27430,109720,0.11,2.64,447897600,447.90,4082.19,93.80
4,MaxPool,1940,7760,0.01,0.19,0,0,0,0
5,Conv,14962,59848,0.06,1.44,224280576,224.28,3747.50,86.11
6,Conv,19841,79364,0.08,1.91,299040768,299.04,3767.96,86.58
7,Conv,13335,53340,0.05,1.28,199360512,199.36,3737.54,85.88
8,MaxPool,1352,5408,0.01,0.13,0,0,0,0
9,Fc,600690,2402760,2.40,57.86,75497472,75.50,31.42,98.19
10,Fc,267076,1068304,1.07,25.72,33554432,33.55,31.41,98.15
11,Fc,66880,267520,0.27,6.44,8192000,8.19,30.62,95.69
