round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,95600,30334,4118518,4916,11515,4260883
2,63037,30761,4117777,4914,9764,4226253
3,45058,30558,4087243,4957,10693,4178509
4,46187,30882,4122793,5744,15932,4221538
5,49060,30581,4245851,67369,76337,4469198
6,76321,58980,4227507,63815,85293,4511916
7,47391,30712,4124334,69350,21535,4293322
8,82610,69547,4145406,64968,17668,4380199
9,94092,31181,4114227,47438,12245,4299183
10,45765,30562,4236505,72632,84734,4470198
11,47787,30844,4126642,7105,57266,4269644
12,82549,31326,4123548,5647,50589,4293659
13,91684,88454,4234371,5145,52506,4472160
14,78951,77564,4129447,5969,72970,4364901
15,49622,30565,4098051,4932,22498,4205668
16,58283,31169,4094603,4088,20836,4208979
17,55463,31942,4094026,4282,19575,4205288
18,55444,31656,4131636,8558,67716,4295010
19,92545,33516,4121027,4286,19034,4270408
20,117191,118948,4118714,4077,14730,4373660
21,82733,60615,4116419,4644,10104,4274515
22,78270,59999,4119257,4719,10301,4272546
23,109531,64897,4092660,4093,16760,4287941
24,52500,29866,4202124,4914,10002,4299406
25,45750,29707,4201580,4673,9738,4291448
26,79339,65992,4124119,4709,10396,4284555
27,86799,66999,4150404,6541,20525,4331268
28,84810,31329,4153779,70076,81704,4421698
29,46830,66036,4195765,66389,16947,4391967
30,116411,56496,4132736,42174,55480,4403297
31,85156,62887,4150080,68661,83295,4450079
32,116450,85282,4118725,38301,74589,4433347
33,80671,89062,4118740,6535,14219,4309227
34,49662,31799,4120634,77127,19541,4298763
35,84262,62161,4243009,5308,53651,4448391
36,77913,97000,4218236,5627,50274,4449050
37,46744,30600,4121106,6055,51410,4255915
38,197068,31116,4145247,67951,80992,4522374
39,91357,65710,4117516,45155,42781,4362519
40,84765,103795,4199958,69132,80831,4538481
41,51159,32183,4152291,8621,92956,4337210
42,84463,66260,4124689,82532,94100,4452044
43,99831,92720,4204090,73444,29910,4499995
44,79750,70257,4171652,52713,27198,4401570
45,55368,33640,4166034,82533,32847,4370422
46,96844,73026,4124270,11859,31954,4337953
47,68243,37251,4185832,17628,44994,4353948
48,110742,76114,4179496,91923,46932,4505207
49,124008,83311,4206597,94798,124504,4633218
50,192395,126420,4158024,65335,99715,4641889
