ins_idx,latency(cycles),latency(ns)
1,7102,28408
2,7039,28156
3,1939,7756
4,13882,55528
5,1883,7532
6,13835,55340
7,816,3264
8,816,3264
9,5101,20404
10,13833,55332
11,1939,7756
12,13832,55328
13,1884,7536
14,13909,55636
15,1600,6400
16,816,3264
17,816,3264
18,12356,49424
19,15596,62384
20,2035,8140
21,7942,31768
22,1186,4744
23,7935,31740
24,424,1696
25,424,1696
26,5350,21400
27,15594,62376
28,1951,7804
29,7903,31612
30,1186,4744
31,7903,31612
32,816,3264
33,424,1696
34,424,1696
35,6846,27384
36,15592,62368
37,1951,7804
38,7903,31612
39,1186,4744
40,7902,31608
41,816,3264
42,816,3264
43,424,1696
44,17349,69396
45,31747,126988
46,3750,15000
47,19140,76560
48,1982,7928
49,19142,76568
50,500,2000
51,292,1168
52,9504,38016
53,31752,127008
54,3718,14872
55,19145,76580
56,1982,7928
57,19139,76556
58,500,2000
59,292,1168
60,292,1168
61,14239,56956
62,31769,127076
63,3756,15024
64,19135,76540
65,2013,8052
66,19148,76592
67,500,2000
68,292,1168
69,292,1168
70,14251,57004
71,31800,127200
72,3760,15040
73,19137,76548
74,1991,7964
75,19136,76544
76,500,2000
77,500,2000
78,292,1168
79,19832,79328
80,32039,128156
81,111739,446956
82,104411,417644
83,14781,59124
84,10440,41760
85,20990,83960
