ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
91,Conv,51990,207960,0.21,1.43,231211008,231.21,1111.81,76.64
92,Conv,23187,92748,0.09,0.64,102760448,102.76,1107.95,76.38
93,Add,3360,13440,0.01,0.09,0,0,0,0
94,Conv,23200,92800,0.09,0.64,102760448,102.76,1107.33,76.33
95,Conv,51964,207856,0.21,1.43,231211008,231.21,1112.36,76.68
96,Conv,23268,93072,0.09,0.64,102760448,102.76,1104.10,76.11
97,Add,3360,13440,0.01,0.09,0,0,0,0
98,Conv,23186,92744,0.09,0.64,102760448,102.76,1108.00,76.38
99,Conv,51981,207924,0.21,1.43,231211008,231.21,1112.00,76.65
100,Conv,23203,92812,0.09,0.64,102760448,102.76,1107.19,76.32
101,Add,3360,13440,0.01,0.09,0,0,0,0
102,Conv,23184,92736,0.09,0.64,102760448,102.76,1108.10,76.39
103,Conv,51968,207872,0.21,1.43,231211008,231.21,1112.28,76.67
104,Conv,23194,92776,0.09,0.64,102760448,102.76,1107.62,76.35
105,Add,3360,13440,0.01,0.09,0,0,0,0
106,Conv,23194,92776,0.09,0.64,102760448,102.76,1107.62,76.35
107,Conv,51937,207748,0.21,1.43,231211008,231.21,1112.94,76.72
108,Conv,23195,92780,0.09,0.64,102760448,102.76,1107.57,76.35
109,Add,3360,13440,0.01,0.09,0,0,0,0
110,Conv,23198,92792,0.09,0.64,102760448,102.76,1107.43,76.34
111,Conv,51940,207760,0.21,1.43,231211008,231.21,1112.88,76.71
112,Conv,23195,92780,0.09,0.64,102760448,102.76,1107.57,76.35
113,Add,3360,13440,0.01,0.09,0,0,0,0
114,Conv,23188,92752,0.09,0.64,102760448,102.76,1107.91,76.37
115,Conv,51990,207960,0.21,1.43,231211008,231.21,1111.81,76.64
116,Conv,23276,93104,0.09,0.64,102760448,102.76,1103.72,76.08
117,Add,3360,13440,0.01,0.09,0,0,0,0
118,Conv,23196,92784,0.09,0.64,102760448,102.76,1107.52,76.35
119,Conv,52013,208052,0.21,1.43,231211008,231.21,1111.31,76.61
120,Conv,23190,92760,0.09,0.64,102760448,102.76,1107.81,76.37
121,Add,3360,13440,0.01,0.09,0,0,0,0
122,Conv,23198,92792,0.09,0.64,102760448,102.76,1107.43,76.34
123,Conv,51978,207912,0.21,1.43,231211008,231.21,1112.06,76.66
124,Conv,23191,92764,0.09,0.64,102760448,102.76,1107.76,76.36
125,Add,3360,13440,0.01,0.09,0,0,0,0
126,Conv,50709,202836,0.20,1.39,205520896,205.52,1013.24,69.85
127,Conv,14808,59232,0.06,0.41,51380224,51.38,867.44,59.80
128,Conv,56734,226936,0.23,1.56,231211008,231.21,1018.84,70.23
129,Conv,25309,101236,0.10,0.70,102760448,102.76,1015.06,69.97
130,Add,2080,8320,0.01,0.06,0,0,0,0
131,Conv,25329,101316,0.10,0.70,102760448,102.76,1014.26,69.92
132,Conv,56729,226916,0.23,1.56,231211008,231.21,1018.93,70.24
133,Conv,25308,101232,0.10,0.70,102760448,102.76,1015.10,69.97
134,Add,2080,8320,0.01,0.06,0,0,0,0
135,Conv,25328,101312,0.10,0.70,102760448,102.76,1014.30,69.92
136,Conv,56732,226928,0.23,1.56,231211008,231.21,1018.87,70.23
137,Conv,25308,101232,0.10,0.70,102760448,102.76,1015.10,69.97
138,Add,2080,8320,0.01,0.06,0,0,0,0
139,AveragePool,50308,201232,0.20,1.38,0,0,0,0
140,Fc,33584,134336,0.13,0.92,4096000,4.10,30.49,95.28
