Name,Type,OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD
/features/stage3/unit7/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit7/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit8/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit8/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit8/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit8/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit9/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit9/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit9/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit9/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit10/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit10/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit10/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit10/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit11/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit11/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit11/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit11/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit12/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit12/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit12/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit12/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit13/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit13/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit13/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit13/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit14/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit14/body/conv2/conv/Conv_quant,Conv,256,256,14,14,3,3,1,1,1,1,1,1
/features/stage3/unit14/body/conv3/conv/Conv_quant,Conv,1024,256,14,14,1,1,1,1,0,0,0,0
/features/stage3/unit14/Add_quant,Add,0,0,0,0,0,0,0,0,0,0,0,0
/features/stage3/unit15/body/conv1/conv/Conv_quant,Conv,256,1024,14,14,1,1,1,1,0,0,0,0
