OC,INC,INH_,INW_,KH,KW,strideH,strideW,padL,padR,padU,padD,mode,latency(cycles)
128,8,224,224,7,7,2,2,0,0,0,0,sta,103200
128,8,224,224,7,7,2,2,0,0,0,0,dyn,103379
64,96,54,54,1,1,1,1,0,0,0,0,sta,3383
64,96,54,54,1,1,1,1,0,0,0,0,dyn,3383
64,32,54,54,1,1,1,1,0,0,0,0,sta,1728
64,32,54,54,1,1,1,1,0,0,0,0,dyn,1728
64,16,54,54,3,3,1,1,1,1,1,1,sta,4941
64,16,54,54,3,3,1,1,1,1,1,1,dyn,4941
64,192,54,54,1,1,1,1,0,0,0,0,sta,6500
64,192,54,54,1,1,1,1,0,0,0,0,dyn,6503
64,32,54,54,1,1,1,1,0,0,0,0,sta,1728
64,32,54,54,1,1,1,1,0,0,0,0,dyn,1728
64,16,54,54,3,3,1,1,1,1,1,1,sta,4941
64,16,54,54,3,3,1,1,1,1,1,1,dyn,4941
64,192,54,54,1,1,1,1,0,0,0,0,sta,6500
64,192,54,54,1,1,1,1,0,0,0,0,dyn,6502
128,32,54,54,1,1,1,1,0,0,0,0,sta,3200
128,32,54,54,1,1,1,1,0,0,0,0,dyn,3200
128,32,54,54,3,3,1,1,1,1,1,1,sta,18968
128,32,54,54,3,3,1,1,1,1,1,1,dyn,19085
64,384,27,27,1,1,1,1,0,0,0,0,sta,3519
64,384,27,27,1,1,1,1,0,0,0,0,dyn,3628
128,32,27,27,1,1,1,1,0,0,0,0,sta,1025
128,32,27,27,1,1,1,1,0,0,0,0,dyn,1024
128,32,27,27,3,3,1,1,1,1,1,1,sta,5145
128,32,27,27,3,3,1,1,1,1,1,1,dyn,5260
64,384,27,27,1,1,1,1,0,0,0,0,sta,3519
64,384,27,27,1,1,1,1,0,0,0,0,dyn,3648
192,48,27,27,1,1,1,1,0,0,0,0,sta,1485
192,48,27,27,1,1,1,1,0,0,0,0,dyn,1485
192,48,27,27,3,3,1,1,1,1,1,1,sta,11244
192,48,27,27,3,3,1,1,1,1,1,1,dyn,11571
64,576,27,27,1,1,1,1,0,0,0,0,sta,5145
64,576,27,27,1,1,1,1,0,0,0,0,dyn,5262
192,48,27,27,1,1,1,1,0,0,0,0,sta,1485
192,48,27,27,1,1,1,1,0,0,0,0,dyn,1485
192,48,27,27,3,3,1,1,1,1,1,1,sta,11243
192,48,27,27,3,3,1,1,1,1,1,1,dyn,11603
64,576,27,27,1,1,1,1,0,0,0,0,sta,5145
64,576,27,27,1,1,1,1,0,0,0,0,dyn,5261
256,64,27,27,1,1,1,1,0,0,0,0,sta,2434
256,64,27,27,1,1,1,1,0,0,0,0,dyn,2455
256,64,27,27,3,3,1,1,1,1,1,1,sta,19782
256,64,27,27,3,3,1,1,1,1,1,1,dyn,20440
64,768,13,13,1,1,1,1,0,0,0,0,sta,1892
64,768,13,13,1,1,1,1,0,0,0,0,dyn,2064
256,64,13,13,1,1,1,1,0,0,0,0,sta,808
256,64,13,13,1,1,1,1,0,0,0,0,dyn,831
256,64,13,13,3,3,1,1,1,1,1,1,sta,5144
256,64,13,13,3,3,1,1,1,1,1,1,dyn,5801
1024,768,13,13,1,1,1,1,0,0,0,0,sta,26287
1024,768,13,13,1,1,1,1,0,0,0,0,dyn,30088
