round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,96307,30893,1672886,43207,50946,1894239
2,56342,30324,1637236,6457,11931,1742290
3,55798,30941,1636921,5714,11447,1740821
4,62267,31176,1635916,5686,10393,1745438
5,60772,30266,1636568,6019,10991,1744616
6,48435,30474,1636936,5971,12334,1734150
7,55842,30376,1636242,5756,11129,1739345
8,52900,30366,1635949,5857,9870,1734942
9,46158,30268,1635933,6078,10051,1728488
10,46303,30347,1636525,6227,12762,1732164
11,53542,30526,1640417,5655,13681,1743821
12,59111,29755,1638585,5609,14950,1748010
13,57199,29630,1637785,5107,12968,1742689
14,53761,29685,1636048,4939,10817,1735250
15,70447,62887,1661161,6188,60679,1861362
16,100179,74104,1665587,7317,50712,1897899
17,63041,44891,1635963,11319,47922,1803136
18,47914,30713,1636108,11313,52602,1778650
19,49520,30660,1635848,11390,50713,1778131
20,46730,30878,1700725,7687,52406,1838426
21,50520,31325,1639010,12395,53205,1786455
22,55059,30572,1636111,5878,10741,1738361
23,55443,30492,1635895,11399,50849,1784078
24,48448,30640,1635958,5863,10875,1731784
25,48160,30489,1635998,5783,10612,1731042
26,48350,30405,1635755,6372,10273,1731155
27,45031,30342,1636257,6210,10248,1728088
28,46554,30406,1636115,6421,11174,1730670
29,45025,30434,1636159,6301,10080,1727999
30,45486,30435,1635846,6254,10694,1728715
31,46051,30469,1639476,6320,13003,1735319
32,60672,30693,1637121,6111,12358,1746955
33,48617,30460,1636073,6281,12270,1733701
34,51386,30474,1636620,5908,11391,1735779
35,49109,30730,1636312,6161,10269,1732581
36,46010,30582,1635833,5922,9787,1728134
37,45140,30380,1635724,6212,10230,1727686
38,44917,30465,1635588,5955,9943,1726868
39,45111,30560,1636017,5988,10251,1727927
40,45633,30475,1635866,6304,10170,1728448
41,45403,30384,1635589,5938,10150,1727464
42,45758,30424,1635744,6198,10526,1728650
43,45351,30352,1640136,6590,15001,1737430
44,53660,31282,1635969,6426,10868,1738205
45,46660,30381,1638264,5999,12516,1733820
46,50325,30840,1636384,5900,13312,1736761
47,51588,30566,1639338,6167,15398,1743057
48,53573,30587,1635754,5933,10429,1736276
49,45604,30294,1636502,6606,10788,1729794
50,45439,30521,1635703,5848,9793,1727304
