ins_idx,latency(cycles),latency(ns)
1,103200,412800
2,20046,80184
3,3383,13532
4,1728,6912
5,4941,19764
6,1498,5992
7,6500,26000
8,1728,6912
9,4941,19764
10,1498,5992
11,6500,26000
12,3200,12800
13,18969,75876
14,2962,11848
15,20910,83640
16,3518,14072
17,1024,4096
18,5145,20580
19,770,3080
20,3518,14072
21,1485,5940
22,11244,44976
23,1138,4552
24,5145,20580
25,1485,5940
26,11244,44976
27,1138,4552
28,5145,20580
29,2434,9736
30,19782,79128
31,1506,6024
32,10542,42168
33,1892,7568
34,808,3232
35,5145,20580
36,386,1544
37,26287,105148
38,84672,338688
