ins_idx,latency(cycles),latency(ns)
1,118101,472404
2,28356,113424
3,19482,77928
4,5005,20020
5,43600,174400
6,19480,77920
7,12576,50304
8,19479,77916
9,43602,174408
10,19480,77920
11,12576,50304
12,19481,77924
13,43627,174508
14,19478,77912
15,12576,50304
16,39513,158052
17,10118,40472
18,44921,179684
19,20049,80196
20,6304,25216
21,20092,80368
22,44921,179684
23,20053,80212
24,6304,25216
25,20090,80360
26,44924,179696
27,20082,80328
28,6304,25216
29,20123,80492
30,44923,179692
31,20048,80192
32,6304,25216
33,44274,177096
34,11686,46744
35,49663,198652
36,22178,88712
37,3360,13440
38,22191,88764
39,49664,198656
40,22179,88716
41,3360,13440
42,22182,88728
43,49664,198656
44,22178,88712
45,3360,13440
46,22188,88752
47,49667,198668
48,23193,92772
49,3360,13440
50,23192,92768
51,49667,198668
52,23191,92764
53,3360,13440
54,23198,92792
55,49666,198664
56,23190,92760
57,3360,13440
58,50688,202752
59,12992,51968
60,56731,226924
61,25341,101364
62,2080,8320
63,25326,101304
64,56738,226952
65,25330,101320
66,2080,8320
67,25328,101312
68,56729,226916
69,25309,101236
70,2080,8320
71,50308,201232
72,33530,134120
