ins_idx,latency(cycles),latency(ns)
1,36682,146728
2,10159,40636
3,6658,26632
4,1939,7756
5,13833,55332
6,6658,26632
7,12576,50304
8,6683,26732
9,13832,55328
10,6658,26632
11,12576,50304
12,6682,26728
13,13831,55324
14,6658,26632
15,12576,50304
16,13893,55572
17,6978,27912
18,15629,62516
19,6830,27320
20,6304,25216
21,7086,28344
22,15592,62368
23,7053,28212
24,6304,25216
25,7094,28376
26,15647,62588
27,7052,28208
28,6304,25216
29,7136,28544
30,15589,62356
31,7088,28352
32,6304,25216
33,7052,28208
34,15595,62380
35,7085,28340
36,6304,25216
37,7136,28544
38,15595,62380
39,7108,28432
40,6304,25216
41,7052,28208
42,15593,62372
43,7052,28208
44,6304,25216
45,7085,28340
46,15595,62380
47,7135,28540
48,6304,25216
49,20139,80556
50,5920,23680
51,19841,79364
52,10190,40760
53,3360,13440
54,10192,40768
55,19841,79364
56,10194,40776
57,3360,13440
58,10194,40776
59,19841,79364
60,10199,40796
61,3360,13440
62,10238,40952
63,19841,79364
64,10271,41084
65,3360,13440
66,10199,40796
67,19841,79364
68,10190,40760
69,3360,13440
70,10241,40964
71,19841,79364
72,10190,40760
73,3360,13440
74,10191,40764
75,19841,79364
76,10192,40768
77,3360,13440
78,10191,40764
79,19841,79364
80,10191,40764
81,3360,13440
82,10188,40752
83,19841,79364
84,10261,41044
85,3360,13440
86,10200,40800
87,19841,79364
88,10205,40820
89,3360,13440
90,10246,40984
91,22642,90568
92,10193,40772
93,3360,13440
94,10190,40760
95,22647,90588
96,10191,40764
97,3360,13440
98,10195,40780
99,22609,90436
100,10189,40756
101,3360,13440
102,10190,40760
103,22651,90604
104,10192,40768
105,3360,13440
106,10195,40780
107,22655,90620
108,10193,40772
109,3360,13440
110,10187,40748
111,22664,90656
112,10282,41128
113,3360,13440
114,10189,40756
115,22650,90600
116,10193,40772
117,3360,13440
118,10190,40760
119,22658,90632
120,10189,40756
121,3360,13440
122,10191,40764
123,22610,90440
124,10196,40784
125,3360,13440
126,10191,40764
127,22639,90556
128,10246,40984
129,3360,13440
130,10190,40760
131,22644,90576
132,10189,40756
133,3360,13440
134,10192,40768
135,22646,90584
136,10191,40764
137,3360,13440
138,10190,40760
139,22651,90604
140,10208,40832
141,3360,13440
142,10249,40996
143,22642,90568
144,10193,40772
145,3360,13440
146,10202,40808
147,22609,90436
148,10194,40776
149,3360,13440
150,10274,41096
151,22641,90564
152,10194,40776
153,3360,13440
154,10191,40764
155,22695,90780
156,10256,41024
157,3360,13440
158,10196,40784
159,22651,90604
160,10193,40772
161,3360,13440
162,10193,40772
163,22650,90600
164,10233,40932
165,3360,13440
166,10189,40756
167,22646,90584
168,10194,40776
169,3360,13440
170,10194,40776
171,22646,90584
172,10189,40756
173,3360,13440
174,10193,40772
175,22609,90436
176,10193,40772
177,3360,13440
178,10266,41064
179,22646,90584
180,10242,40968
181,3360,13440
182,10188,40752
183,22645,90580
184,10192,40768
185,3360,13440
186,10194,40776
187,22648,90592
188,10262,41048
189,3360,13440
190,10192,40768
191,22645,90580
192,10204,40816
193,3360,13440
194,24261,97044
195,8603,34412
196,26346,105384
197,11890,47560
198,2080,8320
199,11890,47560
200,26347,105388
201,11890,47560
202,2080,8320
203,11890,47560
204,26346,105384
205,11890,47560
206,2080,8320
207,50376,201504
208,33536,134144
