ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,36682,146728,0.15,1.53,236027904,236.03,1608.61,36.96
2,MaxPool,10159,40636,0.04,0.42,0,0,0,0
3,Conv,6658,26632,0.03,0.28,102760448,102.76,3858.53,88.66
4,Conv,1939,7756,0.01,0.08,25690112,25.69,3312.29,76.11
5,Conv,13833,55332,0.06,0.58,231211008,231.21,4178.61,96.02
6,Conv,6658,26632,0.03,0.28,102760448,102.76,3858.53,88.66
7,Add,12576,50304,0.05,0.53,0,0,0,0
8,Conv,6683,26732,0.03,0.28,102760448,102.76,3844.10,88.33
9,Conv,13832,55328,0.06,0.58,231211008,231.21,4178.91,96.02
10,Conv,6658,26632,0.03,0.28,102760448,102.76,3858.53,88.66
11,Add,12576,50304,0.05,0.53,0,0,0,0
12,Conv,6682,26728,0.03,0.28,102760448,102.76,3844.67,88.34
13,Conv,13831,55324,0.06,0.58,231211008,231.21,4179.22,96.03
14,Conv,6658,26632,0.03,0.28,102760448,102.76,3858.53,88.66
15,Add,12576,50304,0.05,0.53,0,0,0,0
16,Conv,13893,55572,0.06,0.58,205520896,205.52,3698.28,84.98
17,Conv,6978,27912,0.03,0.29,51380224,51.38,1840.79,42.30
18,Conv,15629,62516,0.06,0.65,231211008,231.21,3698.43,84.98
19,Conv,6830,27320,0.03,0.29,102760448,102.76,3761.36,86.43
20,Add,6304,25216,0.03,0.26,0,0,0,0
21,Conv,7086,28344,0.03,0.30,102760448,102.76,3625.47,83.31
22,Conv,15592,62368,0.06,0.65,231211008,231.21,3707.21,85.18
23,Conv,7053,28212,0.03,0.30,102760448,102.76,3642.44,83.70
24,Add,6304,25216,0.03,0.26,0,0,0,0
25,Conv,7094,28376,0.03,0.30,102760448,102.76,3621.39,83.21
26,Conv,15647,62588,0.06,0.65,231211008,231.21,3694.17,84.88
27,Conv,7052,28208,0.03,0.30,102760448,102.76,3642.95,83.71
28,Add,6304,25216,0.03,0.26,0,0,0,0
29,Conv,7136,28544,0.03,0.30,102760448,102.76,3600.07,82.72
30,Conv,15589,62356,0.06,0.65,231211008,231.21,3707.92,85.20
31,Conv,7088,28352,0.03,0.30,102760448,102.76,3624.45,83.28
32,Add,6304,25216,0.03,0.26,0,0,0,0
33,Conv,7052,28208,0.03,0.30,102760448,102.76,3642.95,83.71
34,Conv,15595,62380,0.06,0.65,231211008,231.21,3706.49,85.17
35,Conv,7085,28340,0.03,0.30,102760448,102.76,3625.99,83.32
36,Add,6304,25216,0.03,0.26,0,0,0,0
37,Conv,7136,28544,0.03,0.30,102760448,102.76,3600.07,82.72
38,Conv,15595,62380,0.06,0.65,231211008,231.21,3706.49,85.17
39,Conv,7108,28432,0.03,0.30,102760448,102.76,3614.25,83.05
40,Add,6304,25216,0.03,0.26,0,0,0,0
41,Conv,7052,28208,0.03,0.30,102760448,102.76,3642.95,83.71
42,Conv,15593,62372,0.06,0.65,231211008,231.21,3706.97,85.18
43,Conv,7052,28208,0.03,0.30,102760448,102.76,3642.95,83.71
44,Add,6304,25216,0.03,0.26,0,0,0,0
45,Conv,7085,28340,0.03,0.30,102760448,102.76,3625.99,83.32
46,Conv,15595,62380,0.06,0.65,231211008,231.21,3706.49,85.17
47,Conv,7135,28540,0.03,0.30,102760448,102.76,3600.58,82.73
48,Add,6304,25216,0.03,0.26,0,0,0,0
49,Conv,20139,80556,0.08,0.84,205520896,205.52,2551.28,58.62
50,Conv,5920,23680,0.02,0.25,51380224,51.38,2169.77,49.86
51,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
52,Conv,10190,40760,0.04,0.43,102760448,102.76,2521.11,57.93
53,Add,3360,13440,0.01,0.14,0,0,0,0
54,Conv,10192,40768,0.04,0.43,102760448,102.76,2520.62,57.92
55,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
56,Conv,10194,40776,0.04,0.43,102760448,102.76,2520.12,57.91
57,Add,3360,13440,0.01,0.14,0,0,0,0
58,Conv,10194,40776,0.04,0.43,102760448,102.76,2520.12,57.91
59,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
60,Conv,10199,40796,0.04,0.43,102760448,102.76,2518.89,57.88
61,Add,3360,13440,0.01,0.14,0,0,0,0
62,Conv,10238,40952,0.04,0.43,102760448,102.76,2509.29,57.66
63,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
64,Conv,10271,41084,0.04,0.43,102760448,102.76,2501.23,57.47
65,Add,3360,13440,0.01,0.14,0,0,0,0
66,Conv,10199,40796,0.04,0.43,102760448,102.76,2518.89,57.88
67,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
68,Conv,10190,40760,0.04,0.43,102760448,102.76,2521.11,57.93
69,Add,3360,13440,0.01,0.14,0,0,0,0
70,Conv,10241,40964,0.04,0.43,102760448,102.76,2508.56,57.64
71,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
72,Conv,10190,40760,0.04,0.43,102760448,102.76,2521.11,57.93
73,Add,3360,13440,0.01,0.14,0,0,0,0
74,Conv,10191,40764,0.04,0.43,102760448,102.76,2520.86,57.92
75,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
76,Conv,10192,40768,0.04,0.43,102760448,102.76,2520.62,57.92
77,Add,3360,13440,0.01,0.14,0,0,0,0
78,Conv,10191,40764,0.04,0.43,102760448,102.76,2520.86,57.92
79,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
80,Conv,10191,40764,0.04,0.43,102760448,102.76,2520.86,57.92
81,Add,3360,13440,0.01,0.14,0,0,0,0
82,Conv,10188,40752,0.04,0.43,102760448,102.76,2521.61,57.94
83,Conv,19841,79364,0.08,0.83,231211008,231.21,2913.30,66.94
84,Conv,10261,41044,0.04,0.43,102760448,102.76,2503.67,57.53
